,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.185057,3115599.0,,,-193088599.0,116182739.0,1251866258.0,3115599.0,-113067140.0,-125320644.0,125320644.0,,-193088599.0,-193088599.0,1559991206.0,-183883050.0,4005537000.0,4005537000.0,-0.0482,-0.0482,-193088599.0,-193088599.0,-193088599.0,1183773.0,-194272372.0,-194272372.0,-44115412.0,-238387784.0,70815910.0,39860604.0,,,,70815910.0,,-125320644.0,125320644.0,,-183883253.0,308124948.0,308124948.0,,,,,,124241695.0,1251866258.0,1376107953.0,1346702953.0
2022-12-31,0.0,0.2,139416996.0,,,-120983805.0,83002474.0,1144809925.0,139416996.0,56414522.0,-123632443.0,123632443.0,44517000.0,-120983805.0,-120983805.0,1386332992.0,97344644.0,4005537000.0,4005537000.0,-0.0302,-0.0302,-120983805.0,-120983805.0,-120983805.0,-204883.0,-120778922.0,-120778922.0,53561001.0,-67217921.0,-40930122.0,42574604.0,,,,-40930122.0,,-123632443.0,123632443.0,44517000.0,97345119.0,241523067.0,241523067.0,,,,,,338868186.0,1144809925.0,1483678111.0,1454031111.0
2021-12-31,0.0,0.082677,1019448408.0,,,764748591.0,65798701.0,1160946147.0,1019448408.0,953649707.0,-78987202.0,118811202.0,39824000.0,764748591.0,764748591.0,1460372286.0,337151472.0,4080891000.0,4080891000.0,0.1874,0.1874,764748591.0,764748591.0,764748591.0,-1067900.0,765816491.0,765816491.0,69022014.0,834838505.0,692439457.0,75941222.0,,,,616498235.0,,-78987202.0,118811202.0,39824000.0,221386306.0,299426139.0,299426139.0,,,,,,520812445.0,1160946147.0,1681758592.0,1648742592.0
2020-12-31,0.0,0.2,344702168.0,-39958375.0,-39958375.0,142177814.0,70350224.0,886142187.0,344702168.0,274351944.0,-79831000.0,131390000.0,51559000.0,142177814.0,142177814.0,1143951978.0,214409419.0,4054536000.0,4054536000.0,0.0351,0.0351,142177814.0,142177814.0,142177814.0,-795068.0,142972882.0,142972882.0,-10938.0,142961944.0,100161285.0,40218938.0,-51370299.0,199987.0,51570286.0,59942347.0,11411924.0,-79831000.0,131390000.0,51559000.0,122631704.0,257809791.0,257809791.0,3068598.0,30992111.0,4166366.0,26825745.0,26825745.0,380441495.0,886142187.0,1266583682.0,1258074682.0
2019-12-31,,,,-6939814.0,-6939814.0,,,,,,,,34769851.0,,,,,,,,,,,,,,,,,,,-2198070.0,6826337.0,9024407.0,,-4741744.0,,,34769851.0,,,,2236288.0,26317794.0,7247869.0,19069925.0,19069925.0,,,,
