,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Write Off,Gain On Sale Of Security,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense
2023-12-31,0.0,0.2,0.0,0.0,18462181000.0,3994289000.0,57207422000.0,21927000000.0,79134000000.0,18462181000.0,18462181000.0,,97291000000.0,96876000000.0,0.19,0.19,18462181000.0,18462181000.0,18462181000.0,-27000.0,18462208000.0,18462208000.0,-979979000.0,17482229000.0,0.0,0.0,,,439000000.0,,,,,16795256000.0,,16795256000.0,,16795256000.0,70695545000.0,70695545000.0,4816941000.0,,9667658000.0
2022-12-31,0.0,0.19,0.0,0.0,14195190000.0,4145105000.0,51616924000.0,14010000000.0,65627000000.0,14195190000.0,14195190000.0,,97094000000.0,96664000000.0,0.15,0.15,14195190000.0,14195190000.0,14195190000.0,-6000.0,14195196000.0,14195196000.0,3351947000.0,17547143000.0,0.0,0.0,,,-192000000.0,,,,,16066184000.0,,16066184000.0,,16066184000.0,65552696000.0,65552696000.0,4864135000.0,,9021788000.0
2021-12-31,0.0,0.18,,,10474045000.0,4802165000.0,50999767000.0,13239000000.0,64239000000.0,10474045000.0,10474045000.0,,96742000000.0,96464000000.0,0.1083,0.1086,10474045000.0,10474045000.0,10474045000.0,-2627000.0,10476672000.0,10476672000.0,2326860000.0,12803532000.0,,,,,-1077007000.0,,,,,16553882000.0,,16553882000.0,,16553882000.0,63902837000.0,63902837000.0,5622117000.0,,9042974000.0
2020-12-31,0.0,0.18,,,10112182000.0,4311547000.0,53805372000.0,18515000000.0,72320000000.0,10112182000.0,10112182000.0,,96541000000.0,96374000000.0,0.1047,0.1049,10112182000.0,10112182000.0,10112182000.0,-2626000.0,10114808000.0,10114808000.0,2222805000.0,12337613000.0,,,,,-506977000.0,,,,,17208802000.0,,17208802000.0,,17208802000.0,67357230000.0,67357230000.0,6170568000.0,,8797826000.0
2019-12-31,,,-579000000.0,-579000000.0,,,,,,,,331000000.0,,,,,,,,,,,,,-579000000.0,0.0,22070000.0,579000000.0,,686000000.0,686000000.0,686000000.0,686000000.0,,1387000000.0,,331000000.0,,,,,471000000.0,
