,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-89023.014662,0.204024,375638088.0,-436335.0,-436335.0,254091406.0,51381272.0,2768626829.0,375201753.0,323820481.0,-4600361.0,4600361.0,254438717.985338,254091406.0,3171654962.0,,324256816.0,283889000.0,283889000.0,0.9,0.9,254091406.0,254091406.0,254091406.0,254091406.0,254091406.0,65128714.0,319220120.0,-436335.0,,-436335.0,436335.0,,-4600361.0,4600361.0,324256816.0,403028133.0,-62069939.0,465098072.0,98150417.0,366947655.0,366947655.0,,727284949.0,2768626829.0,3495911778.0,3495911778.0
2022-12-31,166015.826623,0.219993,266455199.0,754642.0,754642.0,162740036.0,55917393.0,1964940923.0,267209841.0,211292448.0,-2653295.0,2653295.0,162151409.826623,162740036.0,2310175307.0,,210537806.0,283889000.0,283889000.0,0.57,0.57,162740036.0,162740036.0,162740036.0,162740036.0,162740036.0,45899117.0,208639153.0,754642.0,69107595.0,754642.0,-754642.0,87729.0,-2653295.0,2653295.0,210537806.0,345234384.0,-69195324.0,414429708.0,79430146.0,334999562.0,334999562.0,,555772190.0,1964940923.0,2520713113.0,2520713113.0
2021-12-31,1685996.591402,0.217857,188120721.0,7739017.0,7739017.0,93328411.0,72397282.0,1647782466.0,195859738.0,123462456.0,-4138530.0,4138530.0,87275390.591402,93328411.0,2045731786.0,,124289180.0,283889000.0,283889000.0,0.33,0.33,93328411.0,93328411.0,93328411.0,93328411.0,93328411.0,25995515.0,119323926.0,64106517.0,56367500.0,-826724.0,826724.0,8565741.0,-4138530.0,4138530.0,59355939.0,397949320.0,-56367500.0,397949320.0,73613034.0,324336286.0,324336286.0,,457305259.0,1647782466.0,2105087725.0,2105087725.0
2020-12-31,-3876602.36191,0.212303,330564708.0,-18259780.0,-18259780.0,176152019.0,81530794.0,2130284284.0,312304928.0,230774134.0,-7145031.0,7145031.0,190535196.63809,176152019.0,2603916287.0,,240016667.0,283889000.0,283889000.0,0.62,0.62,176152019.0,176152019.0,176152019.0,176152019.0,176152019.0,47477084.0,223629103.0,47869544.0,66129324.0,-9242533.0,9242533.0,-9017247.0,-7145031.0,7145031.0,182904590.0,473632003.0,-66129324.0,473632003.0,81331274.0,392300729.0,392300729.0,0.0,656536593.0,2130284284.0,2786820877.0,2786820877.0
2019-12-31,,,,,,,,,,,,,,,,22629000.0,,,,,,,,,,,,,,71925736.0,,,,,,,,,,,,,29846507.0,,,,
