,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,592731.247166,0.273729,62880857.57,2165391.36,2165391.36,30558125.29,22469402.35,466364232.12,65046248.93,42576846.58,-501448.38,501448.38,28985465.177166,30558125.29,661635210.99,42576846.58,185349200.0,185349200.0,0.16,0.16,30558125.29,30558125.29,30558125.29,30558125.29,30558125.29,11517272.91,42075398.2,2165391.36,,2165391.36,-501448.38,501448.38,40411455.22,195270978.87,-37781313.79,233052292.66,34897148.61,198155144.05,198155144.05,235682434.09,466364232.12,702046666.21,702046666.21
2022-12-31,413437.887357,0.197332,112933512.13,2095134.5,2095134.5,69492907.56,28113303.51,423125245.2,115028646.63,86915343.12,-337902.79,337902.79,67811210.947357,69492907.56,598648419.89,86915343.12,185349200.0,185349200.0,0.37,0.37,69492907.56,69492907.56,69492907.56,69492907.56,69492907.56,17084532.77,86577440.33,2095134.5,,2095134.5,-337902.79,337902.79,84820208.62,175523174.69,-40266352.53,215789527.22,36415760.9,179373766.32,179373766.32,260343383.31,423125245.2,683468628.51,683468628.51
2021-12-31,177806.758208,0.11514,275524312.71,1544262.2,1544262.2,218948283.93,29137594.71,408356489.6,277068574.91,247930980.2,-492572.56,492572.56,217581828.488208,218948283.93,427256390.38,247930980.2,185349200.0,185349200.0,1.18,1.18,218948283.93,218948283.93,218948283.93,218948283.93,218948283.93,28490123.71,247438407.64,1544262.2,,1544262.2,-492572.56,492572.56,246386718.0,18899900.78,-185430963.4,204330864.18,34526994.27,169803869.91,169803869.91,265286618.78,408356489.6,673643108.38,673643108.38
2020-12-31,435276.32734,0.229575,63326827.7,1896009.23,1896009.23,26714992.56,30028584.56,424449818.72,65222836.93,35194252.37,-518595.8,518595.8,25254259.65734,26714992.56,630836058.3,35194252.37,185349200.0,185349200.0,0.14,0.14,26714992.56,26714992.56,26714992.56,26714992.56,26714992.56,7960664.01,34675656.57,1896009.23,,1896009.23,-518595.8,518595.8,33298243.14,206386239.58,-17265611.02,223651850.6,42474079.49,181177771.11,181177771.11,239684482.72,424449818.72,664134301.44,664134301.44
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40600383.16,,,,,,,,,,,,,,
