,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,4729392.053277,0.393117,2145173319.0,12030490.0,12030490.0,210005187.0,1703728630.0,3440379795.0,2157203809.0,453475179.0,-74451299.0,107433408.0,35715526.0,202704089.053277,210005187.0,4310767206.0,,2000000000.0,2000000000.0,0.11,0.11,210005187.0,210005187.0,210005187.0,-1626.0,210006813.0,210006813.0,136034958.0,346041771.0,78326335.0,,11996490.0,,-11996490.0,66295845.0,34000.0,-74451299.0,2733417.0,107433408.0,35715526.0,342166735.0,870387411.0,-10975887.0,,881363298.0,239853544.0,641509754.0,618854754.0,22655000.0,1212554146.0,3440379795.0,4652933941.0,4652933941.0
2022-12-31,6741487.270545,0.165053,2711407343.0,40844489.0,40844489.0,607029719.0,1913705348.0,3560838343.0,2752251832.0,838546484.0,-97315458.0,111498648.0,16232364.0,572926717.270545,607029719.0,4335286555.0,779340427.0,2000000000.0,2000000000.0,0.3,0.3,607029719.0,607029719.0,607029719.0,-17014.0,607046733.0,607046733.0,120001103.0,727047836.0,44944867.0,,40922489.0,0.0,-40922489.0,4100378.0,-78000.0,-97315458.0,2049174.0,111498648.0,16232364.0,779418427.0,774448212.0,-20975364.0,,795423576.0,191368998.0,604054578.0,581209578.0,22845000.0,1553866639.0,3560838343.0,5114704982.0,5114704982.0
2021-12-31,-11681653.006644,0.232719,3189268031.0,-50196466.0,-50196466.0,761647278.0,2050480074.0,3788964604.0,3139071565.0,1088591491.0,-86391353.0,95917162.0,10220135.0,800162090.993356,761647278.0,4550747486.0,1128330763.0,2000000000.0,2000000000.0,0.38,0.38,761647278.0,761647278.0,761647278.0,-13237.0,761660515.0,761660515.0,231013814.0,992674329.0,-50196466.0,,-47596466.0,1668615.0,49265081.0,0.0,-2600000.0,-86391353.0,694326.0,95917162.0,10220135.0,1129262148.0,761782882.0,-37027926.0,,798810808.0,150588698.0,648222110.0,625977110.0,22245000.0,1891045030.0,3788964604.0,5680009634.0,5680009634.0
2020-12-31,3765787.4,0.2,2040181442.0,18828937.0,18828937.0,-214253645.0,2149049642.0,4582798370.0,2059010379.0,-90039263.0,-108065693.0,115846444.0,8475077.0,-229316794.6,-214253645.0,5975258156.0,-76758396.0,2000000000.0,2000000000.0,-0.11,-0.11,-214253645.0,-214253645.0,-214253645.0,89738599.0,-303992244.0,-303992244.0,98106537.0,-205885707.0,16514802.0,,18828937.0,37576420.0,18747483.0,-2314135.0,,-108065693.0,694326.0,115846444.0,8475077.0,-114334816.0,1392459786.0,-38824817.0,0.0,1431284603.0,209717976.0,1221566627.0,1198916627.0,22650000.0,1278124970.0,4582798370.0,5860923340.0,5860923340.0
2019-12-31,,,,,,,,,,,,,,,,,-432258953.0,,,,,,,,,,,,,,421378751.0,,0.0,,,,,,,,,,,145621160.0,,,,,,,,,
