,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2460262.0925,0.1475,1621931729.0,16679743.0,16679743.0,978575682.0,503568426.0,7436352384.0,1638611472.0,1135043046.0,-1609405.0,1609405.0,964356201.0925,978575682.0,8028693314.0,425194000.0,425194000.0,2.3,2.3,978575682.0,978575682.0,978575682.0,12309166.0,966266516.0,966266516.0,167167125.0,1133433641.0,74338538.0,1680000.0,,,55978795.0,16679743.0,-1609405.0,1609405.0,1060704508.0,592340930.0,-93550876.0,685891806.0,114493026.0,571398780.0,571398780.0,1653045438.0,7436352384.0,9089397822.0,9089397822.0
2022-12-31,179402.0322,0.1299,1590680051.0,1381078.0,1381078.0,939967447.0,514668448.0,7315802385.0,1592061129.0,1077392681.0,-1978478.0,1978478.0,938765771.0322,939967447.0,7896623864.0,425194000.0,425194000.0,2.21,2.21,939967447.0,939967447.0,939967447.0,4212275.0,935755172.0,935755172.0,139659031.0,1075414203.0,42644208.0,2996910.0,0.0,0.0,38266220.0,1381078.0,-1978478.0,1978478.0,1034748473.0,580821479.0,-149966577.0,730788056.0,200600587.0,530187469.0,530187469.0,1615569952.0,7315802385.0,8931372337.0,8931372337.0
2021-12-31,148433.88,0.14,1690970334.0,1060242.0,1060242.0,952650017.0,572267490.0,6943350843.0,1692030576.0,1119763086.0,-5789784.0,5789784.0,951738208.88,952650017.0,7568953052.0,425194000.0,425194000.0,2.24,2.24,952650017.0,952650017.0,952650017.0,-2563313.0,955213330.0,955213330.0,158759972.0,1113973302.0,90535980.0,5136000.0,-11501364.0,-11501364.0,84339738.0,12561606.0,-5789784.0,5789784.0,1029227106.0,625602209.0,-111343633.0,736945842.0,254830199.0,482115643.0,482115643.0,1654829315.0,6943350843.0,8598180158.0,8598180158.0
2020-12-31,281021.1,0.1,1039792851.0,2810211.0,2810211.0,371201647.0,619851263.0,5023298143.0,1042603062.0,422751799.0,-7752348.0,7752348.0,368672457.1,371201647.0,5465450533.0,425194000.0,425194000.0,0.87,0.87,371201647.0,371201647.0,371201647.0,-3561488.0,374763135.0,374763135.0,40236316.0,414999451.0,5643242.0,141426105.0,,,2833031.0,2810211.0,-7752348.0,7752348.0,417108557.0,442152390.0,-141426105.0,583578495.0,118968443.0,464610052.0,464610052.0,859260947.0,5023298143.0,5882559090.0,5882559090.0
