,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.080827,3261925243.0,2502623742.0,320666054.0,5962534509.0,3261925243.0,2941259189.0,-234121348.0,218568000.0,3387652.0,2502623742.0,2502623742.0,7764661460.0,60566875.0,1203554178.0,10714382000.0,10714382000.0,0.23,0.23,2502623742.0,2502623742.0,2502623742.0,2502623742.0,2502623742.0,220067447.0,2722691189.0,1753258049.0,,1753258049.0,-234121348.0,18941000.0,218568000.0,3387652.0,1203554178.0,1802126951.0,-268787299.0,2070914250.0,583385186.0,1487529064.0,1487529064.0,3005681129.0,5962534509.0,8968215638.0,8968215638.0
2022-12-31,0.0,0.107414,3288327785.0,2395530761.0,362398308.0,6097380876.0,3288327785.0,2925929477.0,-255272761.0,242119000.0,3986239.0,2395530761.0,2395530761.0,7873031441.0,110885393.0,1353095681.0,10714382000.0,10714382000.0,0.22,0.22,2395530761.0,2395530761.0,2395530761.0,2395530761.0,2395530761.0,288279716.0,2683810477.0,1585987389.0,,1585987389.0,-255272761.0,17140000.0,242119000.0,3986239.0,1353095681.0,1775650565.0,-218788169.0,1994438734.0,493722900.0,1500715834.0,1500715834.0,3128746246.0,6097380876.0,9226127122.0,9226127122.0
2021-12-31,0.0,0.116572,2578433348.0,1669660078.0,375117100.0,5701945929.0,2578433348.0,2203316248.0,-325723378.0,313338000.0,4187622.0,1669660078.0,1669660078.0,7286243879.0,107223209.0,833628879.0,10714382000.0,10714382000.0,0.16,0.16,1669660078.0,1669660078.0,1669660078.0,1669660078.0,1669660078.0,220318170.0,1889978248.0,1382072251.0,,1382072251.0,-325723378.0,16573000.0,313338000.0,4187622.0,833628879.0,1584297950.0,-231638879.0,1815936829.0,390693441.0,1425243388.0,1425243388.0,2417926829.0,5701945929.0,8119872758.0,8119872758.0
2020-12-31,0.0,0.117877,3168828590.0,2123419798.0,389965904.0,6317716917.0,3168828590.0,2778862686.0,-384858224.0,371693000.0,7052776.0,2123419798.0,2123419798.0,7875859689.0,115032327.0,1261730051.0,10714382000.0,10714382000.0,0.2,0.2,2123419798.0,2123419798.0,2123419798.0,2123419798.0,2123419798.0,283749888.0,2407169686.0,1530298289.0,2104651.0,1530298289.0,-384858224.0,20218000.0,371693000.0,7052776.0,1261730051.0,1558142772.0,-232119350.0,1790262122.0,425859581.0,1364402541.0,1364402541.0,2819872823.0,6317716917.0,9137589740.0,9137589740.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247131795.0,,,,,,,,,,,,,,,,
