,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,1937934.5904,0.1982,286901275.0,9777672.0,9777672.0,188052411.0,61354949.0,1009938573.0,296678947.0,235323998.0,-789369.0,789369.0,180212673.5904,188052411.0,1182311906.0,235323998.0,670000000.0,670000000.0,0.28,0.28,188052411.0,188052411.0,188052411.0,188052411.0,188052411.0,46482218.0,234534629.0,9777672.0,9777672.0,-789369.0,789369.0,225546326.0,172373333.0,-18981799.0,191355132.0,86504804.0,104850328.0,104850328.0,397919659.0,1009938573.0,1407858232.0,1407858232.0
2022-12-31,2455955.8725,0.1973,295088948.0,12447825.0,12447825.0,207627605.0,47394146.0,1002270799.0,307536773.0,260142627.0,-1482034.0,1482034.0,197635735.8725,207627605.0,1180492647.0,260142627.0,606657534.0,606657534.0,0.34,0.34,207627605.0,207627605.0,207627605.0,207627605.0,207627605.0,51032988.0,258660593.0,12447825.0,12447825.0,-1482034.0,1482034.0,247694802.0,178221848.0,-16776001.0,194997849.0,97993831.0,97004018.0,97004018.0,425916650.0,1002270799.0,1428187449.0,1428187449.0
2021-12-31,-536895.414,0.198,155457081.0,-2711593.0,-2711593.0,85630669.0,37230716.0,728912992.0,152745488.0,115514772.0,-8738100.0,8738100.0,87805366.586,85630669.0,884948380.0,115514772.0,670000000.0,670000000.0,0.127807,0.127807,85630669.0,85630669.0,85630669.0,85630669.0,85630669.0,21146003.0,106776672.0,-2711593.0,-2711593.0,-8738100.0,8738100.0,118226365.0,156035388.0,-6291490.0,162326878.0,65607021.0,96719857.0,96719857.0,274261753.0,728912992.0,1003174745.0,1003174745.0
2020-12-31,0.0,0.247,137027817.0,,,57218568.0,40369202.0,823144587.0,137027817.0,96658615.0,-20630690.0,20630690.0,57218568.0,57218568.0,1006156874.0,96658615.0,670000000.0,670000000.0,0.085401,0.085401,57218568.0,57218568.0,57218568.0,57218568.0,57218568.0,18809357.0,76027925.0,,,-20630690.0,20630690.0,96658615.0,183012287.0,-3653381.0,186665668.0,66073492.0,120592176.0,120592176.0,279670902.0,823144587.0,1102815489.0,1102815489.0
