,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-11760971.163478,0.179429,1507318635.0,-65546545.0,-65546545.0,936004425.0,227969725.0,12442808633.0,1441772090.0,1213802365.0,-3053941.0,3053941.0,989789998.836522,936004425.0,12919127579.0,940000000.0,940000000.0,1.0,1.0,936004425.0,936004425.0,936004425.0,-57500248.0,993504673.0,993504673.0,217243751.0,1210748424.0,-40723050.0,24823495.0,-3131171.0,,3131171.0,-65546545.0,-3053941.0,3053941.0,1254525415.0,476318946.0,,4189613.0,472129333.0,313815587.0,158313746.0,158313746.0,1730844361.0,12442808633.0,14173652994.0,14173652994.0
2022-12-31,-17185119.69397,0.173078,2160180801.0,-99290938.0,-99290938.0,1429764687.0,233481509.0,16229076710.0,2060889863.0,1827408354.0,-6826769.0,6826769.0,1511870505.30603,1429764687.0,16706226085.0,940000000.0,940000000.0,1.52,1.52,1429764687.0,1429764687.0,1429764687.0,-75713495.0,1505478182.0,1505478182.0,315103403.0,1820581585.0,-53249411.0,46041527.0,22848211.0,,-22848211.0,-99290938.0,-6826769.0,6826769.0,1880657765.0,477149375.0,,-2415630.0,479565005.0,277025479.0,202539526.0,202539526.0,2357807140.0,16229076710.0,18586883850.0,18586883850.0
2021-12-31,284692.376,0.191,1342870517.0,1490536.0,1490536.0,839271208.0,234064049.0,10395915041.0,1344361053.0,1110297004.0,-6831681.0,6831681.0,838065364.376,839271208.0,10768735780.0,940000000.0,940000000.0,0.89,0.89,839271208.0,839271208.0,839271208.0,-53094232.0,892365440.0,892365440.0,211099883.0,1103465323.0,89743026.0,88252490.0,34033836.0,,-34033836.0,1490536.0,-6831681.0,6831681.0,1020553978.0,372820739.0,,,372820739.0,190486693.0,182334046.0,182334046.0,1393374717.0,10395915041.0,11789289758.0,11789289758.0
2020-12-31,1522941.747,0.191,641590181.0,7973517.0,7973517.0,329117679.0,222022866.0,5192046620.0,649563698.0,427540832.0,-4601181.0,4601181.0,322667103.747,329117679.0,5507278308.0,1218954367.0,940000000.0,0.27,0.35,329117679.0,329117679.0,329117679.0,-13128293.0,342245972.0,342245972.0,80693679.0,422939651.0,26723433.0,18749916.0,-1642050.0,1642050.0,,7973517.0,-4601181.0,4601181.0,400817399.0,315231688.0,,,315231688.0,161699949.0,153531739.0,153531739.0,716049087.0,5192046620.0,5908095707.0,5908095707.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36615502.0,,,,,,,-19159774.0,,,,,,,,,
