,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-99270622.4,0.2,4228313744.0,-496353112.0,-496353112.0,3094775340.0,260597195.0,2699433251.0,3731960632.0,3471363437.0,-460328376.0,460328376.0,3491857829.6,3094775340.0,3281009440.0,533133509.0,601210302.0,571933066.0,571890666.0,5.41,5.41,3094775340.0,3094775340.0,3094775340.0,0.0,3094775340.0,3094775340.0,-83740279.0,3011035061.0,2373800023.0,,0.0,0.0,2870153135.0,-496353112.0,-460328376.0,460328376.0,1097563414.0,581576189.0,-136903638.0,718479827.0,0.0,718479827.0,718479827.0,1679139603.0,2699433251.0,4378572854.0,4378572854.0
2022-12-31,35305673.810733,0.031247,2991043216.0,1129875062.0,1129875062.0,3361377447.0,278672450.0,3333067140.0,4120918278.0,3842245828.0,-344758962.0,344758962.0,2266808058.810733,3361377447.0,3908068472.0,489956446.0,1690070346.0,571933066.0,571890666.0,5.88,5.88,3361377447.0,3361377447.0,3361377447.0,-26821999.0,3388199446.0,3388199446.0,109287420.0,3497486866.0,3282050544.0,,931512261.0,-931512261.0,2152175482.0,198362801.0,-344758962.0,344758962.0,560195284.0,575001332.0,-460879721.0,1035881053.0,81989729.0,953891324.0,953891324.0,1135196616.0,3333067140.0,4468263756.0,4468263756.0
2021-12-31,203915762.0,0.2,3022813998.0,1019578810.0,1019578810.0,3585339452.0,243275598.0,2304340746.0,4042392808.0,3799117210.0,-303626497.0,303626497.0,2769676404.0,3585339452.0,2835341774.0,425871727.0,1387823021.0,571933066.0,571890666.0,6.27,6.27,3585339452.0,3585339452.0,3585339452.0,,3585339452.0,3585339452.0,-89848739.0,3495490713.0,3430872999.0,,0.0,0.0,2411294189.0,1019578810.0,-303626497.0,303626497.0,368244211.0,531001028.0,-213304897.0,744305925.0,0.0,744305925.0,744305925.0,899245239.0,2304340746.0,3203585985.0,3203585985.0
2020-12-31,16610345.8,0.2,2681709425.0,83051729.0,83051729.0,2305575170.0,219325161.0,2221031054.0,2764761154.0,2545435993.0,-267061451.0,267061451.0,2239133786.8,2305575170.0,2476413198.0,421387224.0,476961713.0,571933066.0,571890666.0,4.03,4.03,2305575170.0,2305575170.0,2305575170.0,,2305575170.0,2305575170.0,-27200628.0,2278374542.0,2151526009.0,183769023.0,,,2068474280.0,83051729.0,-267061451.0,267061451.0,393909984.0,255382144.0,-183769023.0,439151167.0,,439151167.0,439151167.0,649292128.0,2221031054.0,2870323182.0,2870323182.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,4702132.0,,,,,,62109613.0,,,,,,,,,,,,,,,,,
