,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,1946387313.0,0.0,0.0,1100420309.0,569522890.0,5616377110.0,1946387313.0,1376864423.0,5812110.0,1831391.0,7643501.0,1100420309.0,1100420309.0,6685297819.0,,1372250172.0,1300000000.0,1300000000.0,0.85,0.85,1100420309.0,1100420309.0,1100420309.0,1100420309.0,1100420309.0,274612723.0,1375033032.0,4614251.0,,0.0,0.0,,4614251.0,5812110.0,1831391.0,7643501.0,1364606785.0,522082819.0,-27496181.0,0.0,22685000.0,22685000.0,526894000.0,381413000.0,145481000.0,11038000.0,,134443000.0,1886689604.0,6163215000.0,8049904604.0,8049904604.0
2022-12-31,0.0,0.22,1393064089.0,0.0,0.0,641643618.0,570186606.0,4606502394.0,1393064089.0,822877483.0,-818637.0,1748058.0,929421.0,641643618.0,641643618.0,5600659484.0,,740632180.0,1300000000.0,1300000000.0,0.49,0.49,641643618.0,641643618.0,641643618.0,641643618.0,641643618.0,179485807.0,821129425.0,82245303.0,,0.0,0.0,0.0,82245303.0,-818637.0,1748058.0,929421.0,739703392.0,446869484.0,-18308516.0,0.0,22899000.0,22899000.0,442279000.0,292983000.0,149296000.0,26495000.0,,122801000.0,1186572876.0,5153790000.0,6340362876.0,6340362876.0
2021-12-31,-19706100.0,0.15,1358669440.0,-131374000.0,-131374000.0,546771166.0,583826979.0,3658372021.0,1227295440.0,643468461.0,-2471774.0,2633022.0,161248.0,658439066.0,546771166.0,4512527604.0,,584517698.0,1300000000.0,1300000000.0,0.42,0.42,546771166.0,546771166.0,546771166.0,546771166.0,546771166.0,94064273.0,640835439.0,-72423237.0,,-131374000.0,119697000.0,11677000.0,58950763.0,-2471774.0,2633022.0,161248.0,715730022.0,291647604.0,-22346396.0,,21319000.0,21319000.0,292675000.0,277022000.0,15653000.0,15653000.0,,0.0,1007377626.0,4220880000.0,5228257626.0,5228257626.0
2020-12-31,-11599600.0,0.1,1292605861.0,-115996000.0,-115996000.0,515533044.0,592470764.0,3529425236.0,1176609861.0,584139097.0,-13679777.0,13930954.0,251177.0,619929444.0,515533044.0,4427364403.0,103000.0,556186070.0,1300000000.0,1300000000.0,0.4,0.4,515533044.0,515533044.0,515533044.0,515533044.0,515533044.0,54675099.0,570208143.0,-88042973.0,,-115996000.0,115996000.0,,27953027.0,-13679777.0,13930954.0,251177.0,671931217.0,333760403.0,-8416597.0,,28292000.0,28292000.0,313885000.0,292950000.0,20935000.0,20935000.0,103000.0,0.0,1005691620.0,4093604000.0,5099295620.0,5099295620.0
2019-12-31,,,,,,,,,,,,,,,,,10203000.0,,,,,,,,,,,,,,12926637.0,,,,,,,,,,,,,,,,,,10203000.0,,,,,
