,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2586553.6,0.2,497800987.0,12932768.0,12932768.0,191772803.0,251962001.0,6828638000.0,510733755.0,258771754.0,-81743980.0,83023458.0,1279478.0,181426588.6,191772803.0,7175606434.0,1590957300.0,1590957300.0,0.12,0.12,191772803.0,191772803.0,191772803.0,12504764.0,179268039.0,179268039.0,-3519743.0,175748296.0,126931672.0,113998904.0,12932768.0,12932768.0,,,-81743980.0,83023458.0,1279478.0,130560604.0,346968434.0,,-54663342.0,401631776.0,59502933.0,342128843.0,342128843.0,477529038.0,6828638000.0,7306167038.0,7306167038.0
2022-12-31,7582.70737,0.001615,-14233718.0,4695985.0,4695985.0,-367793858.0,328009056.0,5036918834.0,-9537733.0,-337546789.0,-71363186.0,71912706.0,549520.0,-372482260.29263,-367793858.0,5455088511.0,1590957300.0,1590957300.0,-0.23,-0.23,-367793858.0,-367793858.0,-367793858.0,41004474.0,-408798332.0,-408798332.0,-661163.0,-409459495.0,11208244.0,6512259.0,4695985.0,4695985.0,,,-71363186.0,71912706.0,549520.0,-349304553.0,418169677.0,-4765623.0,-4765623.0,422935300.0,45604644.0,377330656.0,377330656.0,68865124.0,5036918834.0,5105783958.0,5105783958.0
2021-12-31,768199.6,0.2,533925150.0,3840998.0,3840998.0,125232981.0,342098292.0,4722253761.0,537766148.0,195667856.0,-74597933.0,75545412.0,947479.0,122160182.6,125232981.0,5115889562.0,1590957300.0,1590957300.0,0.08,0.08,125232981.0,125232981.0,125232981.0,61316704.0,63916277.0,63916277.0,56206167.0,120122444.0,75863283.0,72022285.0,3840998.0,3840998.0,,,-74597933.0,75545412.0,947479.0,118857094.0,393635801.0,,,393635801.0,33329967.0,360305834.0,360305834.0,512492895.0,4722253761.0,5234746656.0,5234746656.0
2020-12-31,414893.340965,0.245872,709602381.0,1687438.0,1687438.0,239823297.0,385876758.0,7333708200.0,711289819.0,325413061.0,-76300443.0,81703924.0,5403481.0,238550752.340965,239823297.0,7633579900.0,1590957300.0,1590957300.0,0.15,0.15,239823297.0,239823297.0,239823297.0,56035353.0,183787944.0,183787944.0,59921193.0,243709137.0,21553210.0,19923291.0,1687438.0,1687438.0,,-57519.0,-76300443.0,81703924.0,5403481.0,298456370.0,299871700.0,,,299871700.0,31428225.0,268443475.0,268443475.0,598328070.0,7333708200.0,7932036270.0,7932036270.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20812858.0,-56693.0,,,,,,-20812858.0,,,,,,,,,
