,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,12491259.8,0.2,445478460.0,62456299.0,62456299.0,5713384.0,348271665.0,2051431215.0,507934759.0,159663094.0,-93693899.0,100055702.0,6361803.0,-44251655.2,5713384.0,2269220479.0,,153301291.0,714173000.0,714173000.0,0.008,0.008,5713384.0,5713384.0,5713384.0,-372880.0,6086264.0,6086264.0,53521128.0,59607392.0,62456299.0,,57544382.0,-57544382.0,4911917.0,-93693899.0,100055702.0,6361803.0,90844992.0,217789264.0,-4619767.0,6922779.0,215486252.0,84858074.0,130628178.0,130628178.0,308634256.0,2051431215.0,2360065471.0,2360065471.0
2022-12-31,-6973795.380976,0.277879,309351489.0,-25096482.0,-25096482.0,-105654102.0,332158888.0,2150696159.0,284255007.0,-47903881.0,-92301059.0,97888725.0,5587666.0,-87531415.380976,-105654102.0,2293273180.0,0.0,-53491547.0,704360680.0,704360680.0,-0.15,-0.15,-105654102.0,-105654102.0,-105654102.0,-374258.0,-105279844.0,-105279844.0,-40512762.0,-145792606.0,-25096482.0,,-55785452.0,55785452.0,30688970.0,-92301059.0,97888725.0,5587666.0,-28395065.0,142577021.0,-8159795.0,-12927745.0,163664561.0,52893267.0,110771294.0,110771294.0,114181956.0,2150696159.0,2264878115.0,2264878115.0
2021-12-31,4818913.770069,0.174764,583676837.0,27573858.0,27573858.0,221042319.0,271254809.0,1407210423.0,611250695.0,339995886.0,18114322.0,8127386.0,26241708.0,198287374.770069,221042319.0,1557708363.0,5740000.0,313754178.0,713039739.0,713039739.0,0.31,0.31,221042319.0,221042319.0,221042319.0,-52827562.0,273869881.0,273869881.0,57998619.0,331868500.0,27573858.0,,,,27573858.0,18114322.0,8127386.0,26241708.0,286180320.0,150497940.0,-6407228.0,,156905168.0,44341937.0,112563231.0,112563231.0,436678260.0,1407210423.0,1843888683.0,1843888683.0
2020-12-31,-265137.529538,0.149114,442285515.0,-1778081.0,-1778081.0,44165518.0,268671859.0,1337163400.0,440507434.0,171835575.0,35912358.0,13776154.0,49688512.0,45678461.470462,44165518.0,1517413896.0,5960000.0,122147063.0,736091967.0,736091967.0,0.06,0.06,44165518.0,44165518.0,44165518.0,-90324963.0,134490481.0,134490481.0,23568940.0,158059421.0,-1778081.0,,,,-1778081.0,35912358.0,13776154.0,49688512.0,123925144.0,180250496.0,-4859762.0,,185110258.0,33287379.0,151822879.0,151822879.0,304175640.0,1337163400.0,1641339040.0,1641339040.0
2019-12-31,,,,,,,,,,,,,,,,,2999000.0,,,,,,,,,,,,,,,5708798.0,,,,,,,,,,,,,,,,,,
