,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.0962,-202644511.37,-221485548.75,45480816.39,1956245889.3,-202644511.37,-248125327.76,-6737813.05,7396409.89,658596.84,-221485548.75,-221485548.75,2049573832.52,,-248783924.6,600000000.0,600000000.0,-0.3691,-0.3691,-221485548.75,-221485548.75,-221485548.75,0.0,-221485548.75,0.0,-221485548.75,-34036188.9,-255521737.65,,,-6737813.05,7396409.89,658596.84,-248783924.6,93327943.22,-11103655.48,104431598.7,104431598.7,104431598.7,-155455981.38,1956245889.3,1800789907.92,1800789907.92
2022-12-31,0.0,0.1753,-95659774.24,-121837813.81,46960846.07,1716290828.11,-95659774.24,-142620620.31,-4798352.96,5130255.13,331902.17,-121837813.81,-122348548.97,1797490321.14,,-142952522.48,600000000.0,600000000.0,-0.204,-0.204,-122348548.97,-122348548.97,-122348548.97,5107.35,-122353656.32,-510735.16,-121842921.16,-25907954.28,-147750875.44,,,-4798352.96,5130255.13,331902.17,-142952522.48,81199493.03,-8501301.08,89700794.11,89700794.11,89700794.11,-61753029.45,1716290828.11,1654537798.66,1654537798.66
2021-12-31,0.0,0.3033,58592627.84,14035382.94,35112582.24,1076940949.91,58592627.84,23480045.6,-2798699.78,3343137.51,544437.73,14035382.94,14035382.94,1162532855.09,13404694.43,22935607.87,600000000.0,600000000.0,0.0234,0.0234,14035382.94,14035382.94,14035382.94,5337.84,14030045.1,0.0,14030045.1,6106862.99,20136908.09,,,-2798699.78,3343137.51,544437.73,22935607.87,85591905.18,-4175027.57,89766932.75,89766932.75,89766932.75,108527513.05,1076940949.91,1185468462.96,1185468462.96
2020-12-31,0.0,0.2169,84087448.88,45129679.2,22421654.66,716633396.77,84087448.88,61665794.22,-2799450.23,3448717.69,649267.46,45129679.2,45129679.2,796727524.62,12946892.09,61016526.76,467978142.0,467978142.0,0.1,0.1,45129679.2,45129679.2,45129679.2,-462527.2,45592206.4,,45592206.4,12624870.13,58217076.53,,,-2799450.23,3448717.69,649267.46,61016526.76,80094127.85,-6988008.87,87082136.72,87082136.72,87082136.72,141110654.61,716633396.77,857744051.38,857744051.38
2019-12-31,,,,,,,,,,,,,,,17231399.79,,,,,,,,,,,,,,,8816047.05,8816047.05,,,,,,,,,,,,,
