,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-307765.279524,0.004023,453277073.0,-76497639.0,-76497639.0,270245124.0,27091711.0,376779434.0,376779434.0,-105442668.0,105442668.0,346434997.720476,270245124.0,31185304.0,,711500000.0,711500000.0,0.379824,0.379824,270245124.0,270245124.0,270245124.0,270245124.0,270245124.0,1091642.0,271336766.0,-104054003.0,-27556364.0,-76497639.0,-105442668.0,105442668.0,480833437.0,4093593.0,,,4093593.0,4093593.0,4093593.0,,484927030.0,27091711.0,512018741.0,512018741.0
2022-12-31,30160.48547,0.003259,390504619.0,9253165.0,9253165.0,318679645.0,29527165.0,399757784.0,399757784.0,-80036013.0,80036013.0,309456640.48547,318679645.0,33246126.0,,711500000.0,711500000.0,0.447898,0.447898,318679645.0,318679645.0,318679645.0,318679645.0,318679645.0,1042126.0,319721771.0,-19955206.0,-29208371.0,9253165.0,-80036013.0,80036013.0,419712990.0,3718961.0,,1042126.0,3718961.0,3718961.0,3718961.0,,423431951.0,29527165.0,452959116.0,452959116.0
2021-12-31,956586.156394,0.024015,441019554.0,39832142.0,39832142.0,397093134.0,26584808.0,480851696.0,480851696.0,-73987543.0,73987543.0,358217578.156394,397093134.0,29422934.0,,711500000.0,711500000.0,0.558107,0.558107,397093134.0,397093134.0,397093134.0,397093134.0,397093134.0,9771019.0,406864153.0,14522838.0,-25309304.0,39832142.0,-73987543.0,73987543.0,466328858.0,2838126.0,,9771019.0,2838126.0,2838126.0,2838126.0,,469166984.0,26584808.0,495751792.0,495751792.0
2020-12-31,282969.357538,0.010371,370011574.0,27283647.0,27283647.0,320551643.0,25638093.0,397295221.0,397295221.0,-73384170.0,73384170.0,293550965.357538,320551643.0,27566546.0,0.0,711500000.0,711500000.0,0.450529,0.450529,320551643.0,320551643.0,320551643.0,320551643.0,320551643.0,3359408.0,323911051.0,164437.0,-27119210.0,27283647.0,-73384170.0,73384170.0,397130784.0,1928453.0,,3359408.0,1928453.0,1928453.0,1928453.0,0.0,399059237.0,25638093.0,424697330.0,424697330.0
2019-12-31,,,,,,,,,,,,,,,8066665.0,,,,,,,,,,,,,,,,,,,9249875.0,7523861.0,,,,8066665.0,,,,
