,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Special Charges,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,395918.4646,0.0137,409699905.0,28899158.0,28899158.0,239966008.0,147795695.0,604150799.0,438599063.0,290803368.0,-43035643.0,47497115.0,4461472.0,211462768.4646,239966008.0,657534075.0,2200000000.0,2200000000.0,0.11,0.11,239966008.0,239966008.0,239966008.0,-821.0,239966829.0,239966829.0,3339424.0,243306253.0,32716370.0,3817212.0,28954668.0,,,-28954668.0,,-55510.0,-43035643.0,47497115.0,4461472.0,253625526.0,53383276.0,53383276.0,53383276.0,53383276.0,307008802.0,604150799.0,911159601.0,911159601.0
2022-12-31,46538.9382,0.0034,395788234.0,13687923.0,13687923.0,216428077.0,141721702.0,630485786.0,409476157.0,267754455.0,-49378283.0,50583907.0,1205624.0,202786692.9382,216428077.0,687225871.0,1828493151.0,1828493151.0,0.12,0.12,216428077.0,216428077.0,216428077.0,6.0,216428071.0,216428071.0,742477.0,217170548.0,15685746.0,1997823.0,14253419.0,,,-14253419.0,,-565496.0,-49378283.0,50583907.0,1205624.0,250863085.0,56740085.0,56740085.0,56740085.0,56740085.0,307603170.0,630485786.0,938088956.0,938088956.0
2021-12-31,35836.881149,0.001737,354137028.0,20630381.0,20630381.0,202100769.0,124703970.0,502576673.0,374767409.0,250063439.0,-47226799.0,47611359.0,384560.0,181506224.881149,202100769.0,555661256.0,1600000000.0,1600000000.0,252.625961,252.625961,202100769.0,202100769.0,202100769.0,367.0,202100402.0,202100402.0,351678.0,202452080.0,24177074.0,3546693.0,22410000.0,,0.0,-22410000.0,,-1779619.0,-47226799.0,47611359.0,384560.0,225501805.0,53084583.0,53084583.0,53084583.0,53084583.0,278586388.0,502576673.0,781163061.0,781163061.0
2020-12-31,834034.8,0.2,305545306.0,4170174.0,4170174.0,166906815.0,98562721.0,471610043.0,309715480.0,211152759.0,-44416743.0,44888523.0,471780.0,163570675.8,166906815.0,502467463.0,800000.0,800000.0,208.633519,208.633519,166906815.0,166906815.0,166906815.0,1480.0,166905335.0,166905335.0,-641099.0,166264236.0,5353554.0,1183380.0,4009857.0,,4009857.0,,,160317.0,-44416743.0,44888523.0,471780.0,205327425.0,30857420.0,30857420.0,30857420.0,30857420.0,236184845.0,471610043.0,707794888.0,707794888.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,
