,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.201003,596464194.0,416299438.0,61554275.0,784866238.0,596464194.0,534909919.0,-8540321.0,13882614.0,5342293.0,416299438.0,416299438.0,1391957984.0,3042.0,524797872.0,298739417.0,298739417.0,1.39125,1.39125,416299438.0,416299438.0,416299438.0,416299438.0,416299438.0,104727867.0,521027305.0,4769754.0,4769754.0,-8540321.0,13882614.0,5342293.0,524797872.0,607091746.0,-26827891.0,633919637.0,397705497.0,236214140.0,236214140.0,1131889618.0,784866238.0,1916755856.0,1916755856.0
2021-12-31,0.0,0.203806,242373532.0,162797144.0,30986639.0,311646322.0,242373532.0,211386893.0,-6733557.0,6917664.0,184107.0,162797144.0,162797144.0,448304064.0,,211202786.0,301714274.0,301714274.0,0.539574,0.539574,162797144.0,162797144.0,162797144.0,162797144.0,162797144.0,41672085.0,204469229.0,,,-6733557.0,6917664.0,184107.0,211202786.0,136657742.0,-30472680.0,167130422.0,81200785.0,85929637.0,85929637.0,347860528.0,311646322.0,659506850.0,659506850.0
2020-12-31,0.0,0.207337,190883300.0,128554890.0,23219586.0,301145512.0,190883300.0,167663714.0,-5329673.0,5482636.0,152963.0,128554890.0,128554890.0,443545265.0,,167510751.0,301714274.0,301714274.0,0.426082,0.426082,128554890.0,128554890.0,128554890.0,128554890.0,128554890.0,33626188.0,162181078.0,,,-5329673.0,5482636.0,152963.0,167510751.0,142399753.0,-4222221.0,146621974.0,67410225.0,79211749.0,79211749.0,309910504.0,301145512.0,611056016.0,611056016.0
