,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income From Tax Loss Carryforward,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-31796167.8,0.2,-160528175.0,-158980839.0,-158980839.0,-560104244.0,122464500.0,1028454798.0,-319509014.0,-441973514.0,-142568463.0,143518451.0,949988.0,-432919572.8,-560104244.0,1320207938.0,-441973514.0,1318400000.0,1318400000.0,-0.427184,-0.427184,-560104244.0,-560104244.0,-560104244.0,30409952.0,-590514196.0,,-590514196.0,5022231.0,-585491965.0,-153888370.0,5092469.0,-155330710.0,1741854.0,,157072564.0,0.0,-3650129.0,-142568463.0,143518451.0,949988.0,-289035132.0,291753140.0,91083545.0,200669595.0,5364736.0,195304859.0,195304859.0,2718008.0,1028454798.0,1031172806.0,1031172806.0
2022-12-31,766915.7808,0.0208,137211220.0,36870951.0,36870951.0,23280440.0,97961057.0,1656703380.0,174082171.0,76121114.0,-62564419.0,63065963.0,501544.0,-12823595.2192,23280440.0,1885814215.0,81400918.0,1318400000.0,1318400000.0,0.019417,0.019417,23280440.0,23280440.0,23280440.0,10496600.0,12783840.0,,12783840.0,271311.0,13055151.0,35585025.0,3993878.0,35159857.0,35159857.0,,0.0,-5279804.0,1711094.0,-62564419.0,63065963.0,501544.0,40034545.0,229110835.0,0.0,229110835.0,28630027.0,200480808.0,200480808.0,269145380.0,1656703380.0,1925848760.0,1925848760.0
2021-12-31,1350630.1341,0.1131,270458928.0,11941911.0,11941911.0,147167611.0,80093464.0,1393689093.0,282400839.0,202307375.0,-33026169.0,33120129.0,93960.0,136576330.1341,147167611.0,1532139810.0,203734268.0,1923682192.0,1923682192.0,0.077778,0.077778,147167611.0,147167611.0,147167611.0,-2878391.0,150046002.0,,150046002.0,19141244.0,169187246.0,12740466.0,2225448.0,0.0,0.0,,,-1426893.0,11941911.0,-33026169.0,33120129.0,93960.0,189472949.0,138450717.0,,138450717.0,0.0,138450717.0,138450717.0,327923666.0,1393689093.0,1721612759.0,1721612759.0
2020-12-31,3501469.6063,0.1361,303357036.0,25727183.0,25727183.0,79177329.0,63549719.0,2126200335.0,329084219.0,265534500.0,-11000172.0,34275401.0,23275229.0,56951615.6063,79177329.0,2247933604.0,272658606.0,543075490.0,543075490.0,0.177778,0.177778,95046866.0,95046866.0,95046866.0,-120618801.0,215665667.0,15869537.0,199796130.0,31462969.0,231259099.0,21232260.0,2629183.0,20000000.0,,-20000000.0,,-7124106.0,5727183.0,-11000172.0,34275401.0,23275229.0,221027011.0,121733269.0,,121733269.0,,121733269.0,121733269.0,342760280.0,2126200335.0,2468960615.0,2468960615.0
