,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Total Revenue,Operating Revenue
2023-12-31,0.0,0.200538,7295394623.0,534741688.0,11039223056.0,1702639264.0,12741862320.0,7295394623.0,7295394623.0,,2577877959.0,2577877959.0,2.83,2.83,7295394623.0,7295394623.0,7295394623.0,45763608.0,7249631015.0,7249631015.0,1818507518.0,9068138533.0,8800589768.0,8800589768.0,8534132102.0,266457666.0,20466381880.0,20466381880.0
2022-12-31,0.0,0.204904,7079399249.0,549411550.0,9986365422.0,1392499203.0,11378864625.0,7079399249.0,7079399249.0,,2574327000.0,2574327000.0,2.75,2.75,7079399249.0,7079399249.0,7079399249.0,25790420.0,7053608829.0,7053608829.0,1817782936.0,8871391765.0,8116501512.0,8116501512.0,7872012649.0,244488863.0,18418243477.0,18418243477.0
2021-12-31,0.0,0.202175,5878693059.0,594213237.0,9257277035.0,1415848055.0,10673125090.0,5878693059.0,5878693059.0,,2578374149.0,2578374149.0,2.28,2.28,5878693059.0,5878693059.0,5878693059.0,90172798.0,5788520261.0,5788520261.0,1466856852.0,7255377113.0,7325575439.0,7325575439.0,7064049614.0,261525825.0,16759714729.0,16759714729.0
2020-12-31,0.0,0.199,5332865190.0,529550976.0,8978414052.0,1560066824.0,10538480876.0,5332865190.0,5332865190.0,123281000.0,2578334070.0,2578334070.0,2.07,2.07,5332865190.0,5332865190.0,5332865190.0,-175451675.0,5508316865.0,5508316865.0,1371699859.0,6880016724.0,7522809823.0,7522809823.0,7283030417.0,239779406.0,17687807303.0,17687807303.0
2019-12-31,,,,,,,,,,301887000.0,,,,,,,,,,,,,,,,,,
