,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2005,417099751.0,259471888.0,82760485.0,1564655980.0,417099751.0,334339266.0,-9781966.0,9781966.0,259471888.0,259471888.0,1803589477.0,334371735.0,272926000.0,272926000.0,0.95,0.95,259471888.0,259471888.0,259471888.0,259471888.0,259471888.0,65085412.0,324557300.0,-32469.0,-32469.0,-9781966.0,9781966.0,334371735.0,238933497.0,-22744479.0,261677976.0,11344135.0,250333841.0,250333841.0,573305232.0,1564655980.0,2137961212.0,2137961212.0
2022-12-31,0.0,0.2033,449774264.0,293103127.0,69939941.0,1431818739.0,449774264.0,379834323.0,-11947175.0,11947175.0,293103127.0,293103127.0,1659964199.0,379834323.0,300000000.0,300000000.0,0.97701,0.97701,293103127.0,293103127.0,293103127.0,293103127.0,293103127.0,74784021.0,367887148.0,,0.0,-11947175.0,11947175.0,379834323.0,228145460.0,-13514802.0,241660262.0,14289296.0,227370966.0,227370966.0,607979783.0,1431818739.0,2039798522.0,2039798522.0
2021-12-31,0.0,0.2077,482492107.0,317480363.0,69480433.0,1340877059.0,482492107.0,413011674.0,-12298509.0,12298509.0,317480363.0,317480363.0,1558008792.0,413011674.0,300000000.0,300000000.0,1.058268,1.058268,317480363.0,317480363.0,317480363.0,317480363.0,317480363.0,83232802.0,400713165.0,,,-12298509.0,12298509.0,413011674.0,217131733.0,-14040214.0,231171947.0,28084441.0,203087506.0,203087506.0,630143407.0,1340877059.0,1971020466.0,1971020466.0
