,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Write Off,Impairment Of Capital Assets,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.0,-37674618.65,4467801.87,4467801.87,-65807562.61,2849493.09,156084013.53,-33206816.78,-36056309.87,-29751252.74,29751252.74,-70275364.48,-65807562.61,241989445.68,-36056309.87,3290378130.0,3290378130.0,-0.02,-0.02,-65807562.61,-65807562.61,-65807562.61,0.0,-65807562.61,-65807562.61,0.0,-65807562.61,4467801.87,,4467801.87,877551.24,,0.0,-3590250.63,,-29751252.74,29751252.74,-40524111.74,85905432.15,-10711961.01,0.0,96617393.16,15218112.52,81399280.64,81399280.64,45381320.41,156084013.53,201465333.94,201465333.94
2022-12-31,0.0,0.0,-56132771.82,2474067.15,2474067.15,-88805972.54,4782566.3,148153390.44,-53658704.67,-58441270.97,-30364701.57,30364701.57,-91280039.69,-88805972.54,259875288.34,-58441270.97,4440298627.0,4440298627.0,-0.02,-0.02,-88805972.54,-88805972.54,-88805972.54,0.0,-88805972.54,-88805972.54,0.0,-88805972.54,2474067.15,,2474067.15,0.0,7907486.17,-8603348.89,-1778204.43,,-30364701.57,30364701.57,-60915338.12,111721897.9,-7220300.87,-3056880.0,121999078.77,15836881.49,106162197.28,106162197.28,50806559.78,148153390.44,198959950.22,198959950.22
2021-12-31,0.0,0.0,-54938675.57,19919916.48,19919916.48,-75677360.88,7050083.58,79944051.63,-35018759.09,-42068842.67,-31959694.15,31959694.15,-95597277.36,-75677360.88,170017455.9,-42068842.67,3613536044.0,3613536044.0,-0.05,-0.05,-75677360.88,-75677360.88,-75677360.88,0.0,-75677360.88,-75677360.88,1648824.06,-74028536.82,19919916.48,,19919916.48,973671.64,-18173797.62,-772447.22,,,-31959694.15,31959694.15,-61988759.15,90073404.27,-9806246.34,138838.0,99740812.61,12245855.05,87494957.56,87494957.56,28084645.12,79944051.63,108028696.75,108028696.75
2020-12-31,0.0,0.0,-67659245.22,7241005.85,7241005.85,-103105364.15,8521043.51,110509117.74,-60418239.37,-68939282.88,-33296326.1,33296326.1,-110346370.0,-103105364.15,225034226.64,-68939282.88,859211368.0,859211368.0,-0.12,-0.12,-103105364.15,-103105364.15,-103105364.15,0.0,-103105364.15,-103105364.15,869755.17,-102235608.98,7241005.85,,7241005.85,6442083.32,,-798922.53,,901933.0,-33296326.1,33296326.1,-76180288.73,114525108.9,-6870846.76,-798922.53,121395955.66,25191107.47,96204848.19,96204848.19,38344820.17,110509117.74,148853937.91,148853937.91
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11283437.0,,,-16557456.0,,91483074.33,40739756.07,,,,,,,,,,,,,,
