,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2022-12-31,34112.031492,0.213537,636881058.0,159748.0,159748.0,253166478.0,288485504.0,899420581.0,637040806.0,348555302.0,-23547581.0,26650365.0,3102784.0,253040842.031492,253166478.0,1551526851.0,265808219.0,265808219.0,0.954545,0.954545,253166478.0,253166478.0,253166478.0,253166478.0,253166478.0,68738459.0,321904937.0,6609837.0,6450089.0,159748.0,-159748.0,-23547581.0,26650365.0,3102784.0,338842681.0,652106270.0,-2108061.0,654214331.0,569028109.0,85186222.0,85186222.0,990948951.0,899420581.0,1890369532.0,1890369532.0
2021-12-31,577620.586221,0.212434,474478497.0,2719063.0,2719063.0,131266787.0,285080525.0,578397316.0,477197560.0,192117035.0,-22856420.0,25443086.0,2586666.0,129125344.586221,131266787.0,1070597525.0,264000000.0,264000000.0,0.5,0.5,131266787.0,131266787.0,131266787.0,131266787.0,131266787.0,35407162.0,166673949.0,4375121.0,1656058.0,2719063.0,-2719063.0,-22856420.0,25443086.0,2586666.0,185155248.0,492200209.0,-2300700.0,494500909.0,432277432.0,62223477.0,62223477.0,677355457.0,578397316.0,1255752773.0,1255752773.0
