,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.202596,401449090.0,,,251802625.0,69573955.0,4238514515.0,401449090.0,331875135.0,-9780490.0,14663058.0,4882568.0,251802625.0,251802625.0,5010997547.0,326992567.0,641997000.0,641997000.0,0.39,0.39,251802625.0,251802625.0,251802625.0,-1143671.0,252946296.0,252946296.0,64265781.0,317212077.0,,,-9780490.0,14663058.0,4882568.0,326992567.0,772483032.0,-12864727.0,785347759.0,390668909.0,394678850.0,394678850.0,1099475599.0,4238514515.0,5337990114.0,5337990114.0
2022-12-31,0.0,0.196496,407627007.0,-8874000.0,-8874000.0,266652576.0,66037213.0,3728098435.0,407627007.0,341589794.0,-7643475.0,7847689.0,204214.0,266652576.0,266652576.0,4389959078.0,341385580.0,700000000.0,700000000.0,0.380932,0.380932,266652576.0,266652576.0,266652576.0,-1510645.0,268163221.0,268163221.0,65578884.0,333742105.0,-8874000.0,-8874000.0,-7643475.0,7847689.0,204214.0,341385580.0,661860643.0,-41162919.0,703023562.0,326747722.0,376275840.0,376275840.0,1003246223.0,3728098435.0,4731344658.0,4731344658.0
2021-12-31,0.0,0.199937,381930552.0,,,245355685.0,70679738.0,3999393968.0,381930552.0,311250814.0,-4660872.0,5223150.0,562278.0,245355685.0,245355685.0,4628379734.0,310688536.0,700000000.0,700000000.0,0.350508,0.350508,245355685.0,245355685.0,245355685.0,514325.0,244841360.0,244841360.0,61186304.0,306027664.0,,,-4660872.0,5223150.0,562278.0,310688536.0,628985766.0,-53496505.0,682482271.0,288710255.0,393772016.0,393772016.0,939674302.0,3999393968.0,4939068270.0,4939068270.0
2020-12-31,-3167554.17639,0.196364,328901262.0,-16131000.0,-16131000.0,165883736.0,99794623.0,4230895405.0,312770262.0,212975639.0,-6498140.0,6512576.0,14436.0,178847181.82361,165883736.0,4947524533.0,212961203.0,700000000.0,700000000.0,0.236977,0.236977,165883736.0,165883736.0,165883736.0,-37331.0,165921067.0,165921067.0,40541996.0,206463063.0,-16131000.0,-16131000.0,-6498140.0,6512576.0,14436.0,229092096.0,716629128.0,-42322221.0,758951349.0,106416261.0,652535088.0,652535088.0,945721224.0,4230895405.0,5176616629.0,5176616629.0
