,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2770389.035675,0.129824,506158181.0,21339562.0,21339562.0,385566246.0,3591378.0,266955359.0,527497743.0,523906365.0,-75281537.0,80816367.0,5534830.0,366997073.035675,385566246.0,273220677.0,172430455.0,547500000.0,547500000.0,0.704231,0.704231,385566246.0,385566246.0,385566246.0,385566246.0,385566246.0,57523752.0,443089998.0,6617125.0,-14722437.0,,,21339562.0,-75281537.0,80816367.0,5534830.0,511754410.0,6265318.0,,6265318.0,6265318.0,6265318.0,518019728.0,266955359.0,784975087.0,784975087.0
2022-12-31,-7227626.579652,0.150857,470060316.0,-47910436.0,-47910436.0,305802783.0,3591378.0,273534135.0,422149880.0,418558502.0,-57364689.0,58427408.0,1062719.0,346485592.420348,305802783.0,280788372.0,182127605.0,547500000.0,547500000.0,0.558544,0.558544,305802783.0,305802783.0,305802783.0,305802783.0,305802783.0,54328311.0,360131094.0,-69158076.0,-21247640.0,,,-47910436.0,-57364689.0,58427408.0,1062719.0,486653859.0,7254237.0,,7254237.0,7254237.0,7254237.0,493908096.0,273534135.0,767442231.0,767442231.0
2021-12-31,-9369998.554082,0.171515,531946263.0,-54630901.0,-54630901.0,316191525.0,33306265.0,247802445.0,477315362.0,444009097.0,-61605857.0,62358998.0,753141.0,361452427.445918,316191525.0,283174270.0,155331090.0,547500000.0,547500000.0,0.577519,0.577519,316191525.0,316191525.0,316191525.0,316191525.0,316191525.0,65458574.0,381650099.0,-76511311.0,-21880410.0,,,-54630901.0,-61605857.0,62358998.0,753141.0,519767267.0,35371825.0,29714886.0,5656939.0,5656939.0,5656939.0,555139092.0,247802445.0,802941537.0,802941537.0
2020-12-31,33445788.06473,0.090112,663479178.0,371159366.0,371159366.0,848185001.0,42031003.0,229574876.0,1034638544.0,992607541.0,-59185878.0,60421725.0,1235847.0,510471423.06473,848185001.0,234060683.0,129712568.0,547500000.0,547500000.0,1.549196,1.549196,848185001.0,848185001.0,848185001.0,848185001.0,848185001.0,84000815.0,932185816.0,313110584.0,-58048782.0,,,371159366.0,-59185878.0,60421725.0,1235847.0,678261110.0,4485807.0,,4485807.0,4485807.0,4485807.0,682746917.0,229574876.0,912321793.0,912321793.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-38324853.0,38324853.0,,,,,,,14865875.0,,,,,,,
