,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-389864200.0,0.2,233922649000.0,-1949321000.0,-1949321000.0,76706392000.0,81321703000.0,96953746000.0,231973328000.0,150651625000.0,-4939442000.0,10243440000.0,5303998000.0,78265848800.0,76706392000.0,159905134000.0,3970000000.0,3970000000.0,18.89,18.89,74981000000.0,74981000000.0,1725000000.0,76706392000.0,1873000.0,76704519000.0,76704519000.0,63703666000.0,140408185000.0,4559162000.0,5031970000.0,-1694090000.0,2561078000.0,,4255168000.0,,,1476513000.0,-255231000.0,-4939442000.0,10243440000.0,5303998000.0,140788465000.0,62951388000.0,45972235000.0,16979153000.0,16979153000.0,16979153000.0,203739853000.0,96953746000.0,300693599000.0,300693599000.0
2022-12-31,-3963939600.0,0.2,254402280000.0,-19819698000.0,-19819698000.0,70901335000.0,83168048000.0,107305868000.0,234582582000.0,151414534000.0,-6651863000.0,8218448000.0,1566585000.0,86757093400.0,70901335000.0,169335460000.0,3970000000.0,3970000000.0,17.94,17.94,71232000000.0,71232000000.0,-331000000.0,70901335000.0,0.0,70901335000.0,70901335000.0,72294751000.0,143196086000.0,-12166920000.0,6984948000.0,-10652638000.0,0.0,,10652638000.0,10652638000.0,0.0,667830000.0,-9167060000.0,-6651863000.0,8218448000.0,1566585000.0,162014869000.0,62029592000.0,41643102000.0,20386490000.0,20386490000.0,20386490000.0,224044461000.0,107305868000.0,331350329000.0,331350329000.0
2021-12-31,-804796600.0,0.2,161181648000.0,-4023983000.0,-4023983000.0,38863595000.0,70293971000.0,87288660000.0,157157665000.0,86863694000.0,-5940287000.0,6471932000.0,531645000.0,42082781400.0,38863595000.0,133538297000.0,3970000000.0,3970000000.0,9.7,9.7,38517595000.0,38517595000.0,346000000.0,38863595000.0,,38863595000.0,38863595000.0,41528167000.0,80391762000.0,802275000.0,4337632000.0,4551768000.0,,,6142011000.0,6142011000.0,-10693779000.0,488626000.0,-8575751000.0,-5940287000.0,6471932000.0,531645000.0,85529774000.0,46249637000.0,34833228000.0,11416409000.0,11416409000.0,11416409000.0,131779411000.0,87288660000.0,219068071000.0,219068071000.0
2020-12-31,380898400.0,0.2,112729429000.0,1904492000.0,1904492000.0,22664011000.0,65249767000.0,78047928000.0,114633921000.0,49384154000.0,-6805732000.0,7955860000.0,1150128000.0,21140417400.0,22664011000.0,115897234000.0,3970000000.0,3970000000.0,5.65,5.65,22427011000.0,22427011000.0,237000000.0,22664011000.0,,22664011000.0,22664011000.0,18764283000.0,41428294000.0,3730582000.0,518864000.0,-2126684000.0,,-679959000.0,2806643000.0,2806643000.0,0.0,1307226000.0,4031176000.0,-6805732000.0,7955860000.0,1150128000.0,44503444000.0,37849306000.0,28095141000.0,9754165000.0,9754165000.0,9754165000.0,82352750000.0,78047928000.0,160400678000.0,160400678000.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
