,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Special Charges,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,157762357.813439,0.209512,6686063575.0,753000000.0,753000000.0,-2923167490.0,8666309961.0,307114270037.0,7439063575.0,-1227246386.0,-2021000000.0,2457000000.0,56000000.0,-3518405132.186561,-2923167490.0,322191071759.0,113000000.0,-1861411380.0,20410000000.0,20410000000.0,-0.14,-0.14,-2923167490.0,-2923167490.0,-2923167490.0,-10814061.0,-2912353429.0,-2912353429.0,-771892957.0,-3684246386.0,1481057120.0,474000000.0,-8000000.0,6000000.0,,-6000000.0,14000000.0,,254057120.0,761000000.0,-2021000000.0,-380000000.0,2457000000.0,56000000.0,-3143989396.0,6692491761.0,-71000000.0,-71000000.0,282000000.0,282000000.0,282000000.0,6481491761.0,1425491761.0,5056000000.0,1691000000.0,113000000.0,3252000000.0,3548502365.0,315498579998.0,319047082363.0,319047082363.0
2022-12-31,-1485933294.532425,0.207533,11671973793.0,-7160000000.0,-7160000000.0,-4363617922.0,8058798626.0,307126306113.0,4511973793.0,-3546824833.0,-1835000000.0,1955000000.0,38000000.0,1310448783.467575,-4363617922.0,322047590694.0,116000000.0,-3912209445.0,20410000000.0,20410000000.0,-0.21,-0.21,-4363617922.0,-4363617922.0,-4363617922.0,-3601008.0,-4360016914.0,-4360016914.0,-1141807919.0,-5501824833.0,-6419378881.0,457000000.0,22000000.0,20000000.0,,-20000000.0,-2000000.0,,283621119.0,-7182000000.0,-1835000000.0,-82000000.0,1955000000.0,38000000.0,2752437238.0,7155485955.0,-86000000.0,-86000000.0,293000000.0,293000000.0,293000000.0,6948485955.0,2002485955.0,4946000000.0,1573000000.0,116000000.0,3257000000.0,9907923193.0,314892104739.0,324800027932.0,324800027932.0
2021-12-31,-210699447.631444,0.139259,28731597632.0,-1513000000.0,-1513000000.0,14504624077.0,8586513253.0,220691346817.0,27218597632.0,18632084379.0,-1699000000.0,1748000000.0,44000000.0,15806924629.368555,14504624077.0,236701544106.0,51000000.0,17914163371.0,20410000000.0,20410000000.0,0.71,0.71,14504624077.0,14504624077.0,14504624077.0,-28193116.0,14532817193.0,14532817193.0,2351267186.0,16884084379.0,168619961.0,969000000.0,-47000000.0,-46000000.0,,,1000000.0,,712619961.0,-1466000000.0,-1699000000.0,-5000000.0,1748000000.0,44000000.0,18413063425.0,7712684036.0,,-64000000.0,289000000.0,289000000.0,289000000.0,7487684036.0,2132684036.0,5355000000.0,1553000000.0,51000000.0,3751000000.0,26125747461.0,228988860070.0,255114607531.0,255114607531.0
2020-12-31,39228960.636703,0.202211,2977337223.0,194000000.0,194000000.0,-6151699849.0,8952100045.0,165816691225.0,3171337223.0,-5780762822.0,-1849000000.0,1903000000.0,53000000.0,-6306470888.363297,-6151699849.0,181497774384.0,119000000.0,-6114843882.0,20410000000.0,20410000000.0,-0.3,-0.3,-6151699849.0,-6151699849.0,-6151699849.0,-21679446.0,-6130020403.0,-6130020403.0,-1553742419.0,-7683762822.0,1200669007.0,674000000.0,-534000000.0,-79000000.0,,,-1000000.0,456000000.0,332669007.0,728000000.0,-1849000000.0,-1000000.0,1903000000.0,53000000.0,-7035222969.0,7006983114.0,,-87000000.0,278000000.0,278000000.0,278000000.0,6815983114.0,1397983114.0,5418000000.0,1645000000.0,119000000.0,3654000000.0,-28239855.0,174490791270.0,174462551415.0,174462551415.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,,-251000000.0,,,,,,,,,,,,,,,,,,,,,,,
