,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,27829174.517334,0.0954,540751150.68,291710424.71,291710424.71,-234865032.32,368959646.58,5219924981.04,832461575.39,463501928.81,-299024700.28,337105035.8,38080335.52,-498746282.512666,-234865032.32,5812642807.84,479923855.89,572759484.0,572759484.0,-0.41,-0.41,-234865032.32,-234865032.32,-234865032.32,-317914202.27,83049169.95,83049169.95,43347723.06,126396893.01,237208162.11,,291710424.71,291710424.71,-54502262.6,-299024700.28,337105035.8,38080335.52,188213431.18,592717826.8,-34683992.16,44546715.26,582855103.7,2216681.49,580638422.21,580638422.21,780931257.98,5219924981.04,6000856239.02,6000856239.02
2022-12-31,0.0,0.211881,688904403.17,0.0,0.0,-185721364.88,383593944.59,4539522009.48,688904403.17,305310458.58,-236033450.71,265076743.53,29043292.82,-185721364.88,-185721364.88,4733677555.46,294920529.94,572759484.0,572759484.0,-0.32,-0.32,-185721364.88,-185721364.88,-185721364.88,-217430312.08,31708947.2,31708947.2,8524767.85,40233715.05,-18653364.18,,0.0,0.0,-18653364.18,-236033450.71,265076743.53,29043292.82,294920529.94,194155545.98,-225318911.14,59954435.8,359520021.32,2264116.3,357255905.02,357255905.02,489076075.92,4539522009.48,5028598085.4,5028598085.4
2021-12-31,0.0,0.0504,451373907.8,,,-314942250.85,361847623.17,3906074193.12,451373907.8,89526284.63,-179745732.33,185716009.73,5970277.4,-314942250.85,-314942250.85,4259622452.68,84483811.46,572759484.0,572759484.0,-0.55,-0.55,-314942250.85,-314942250.85,-314942250.85,-230961643.71,-83980607.14,-83980607.14,-12209117.96,-96189725.1,-927804.23,,,,-927804.23,-179745732.33,185716009.73,5970277.4,84483811.46,353548259.56,-16669566.71,26438202.5,343779623.77,2035766.5,341743857.27,341743857.27,438032071.02,3906074193.12,4344106264.14,4344106264.14
2020-12-31,0.0,0.2,681317699.83,0.0,0.0,15552697.81,230102578.06,3187802459.4,681317699.83,451215121.77,-103485537.75,114327944.65,10842406.9,15552697.81,15552697.81,3534144544.07,440183359.0,572759484.0,572759484.0,0.03,0.03,15552697.81,15552697.81,15552697.81,-325462897.93,341015595.74,341015595.74,-4128418.62,336887177.12,189355.87,,0.0,0.0,189355.87,-103485537.75,114327944.65,10842406.9,440183359.0,346342084.67,-30110628.25,14902753.46,361549959.46,3280508.77,358269450.69,358269450.69,786525443.67,3187802459.4,3974327903.07,3974327903.07
2019-12-31,,,,-1163003.48,-1163003.48,,,,,,,,,,,,,,,,,,,,,,,,,,48519266.2,-1163003.48,-1163003.48,,,,,,,,,,,,,,,,
