,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-845188.267,0.203,217383503.0,-4163489.0,-4163489.0,158405386.0,10494712.0,90909109.0,213220014.0,202725302.0,161723686.733,158405386.0,180645371.0,251874537.0,493499975.0,493499975.0,0.32,0.32,158405386.0,158405386.0,158405386.0,158405386.0,158405386.0,40156427.0,198561813.0,-4163489.0,47979049.0,-4163489.0,4163489.0,202725302.0,89736262.0,-47979049.0,,137715311.0,19174875.0,118540436.0,118540436.0,,292461564.0,90909109.0,383370673.0,383370673.0
2022-12-31,-4998328.464,0.2188,253567316.0,-22844280.0,-22844280.0,156908775.0,10827111.0,75979923.0,230723036.0,219895925.0,174754726.536,156908775.0,158480875.0,258385673.0,493499975.0,493499975.0,0.32,0.32,156908775.0,156908775.0,156908775.0,156908775.0,156908775.0,40142870.0,197051645.0,-22844280.0,42392358.0,-22844280.0,22844280.0,219895925.0,82500952.0,-42392358.0,,124893310.0,18833355.0,106059955.0,106059955.0,,302396877.0,75979923.0,378376800.0,378376800.0
2021-12-31,-193456.2058,0.1874,206034476.0,-1032317.0,-1032317.0,152823842.0,10489018.0,72234629.0,205002159.0,194513141.0,153662702.7942,152823842.0,154285577.0,229723681.0,493499975.0,493499975.0,0.31,0.31,152823842.0,152823842.0,152823842.0,152823842.0,152823842.0,40656982.0,193480824.0,-1032317.0,36620707.0,-1032317.0,1032317.0,194513141.0,82050948.0,-36620707.0,,118671655.0,17039390.0,101632265.0,101632265.0,,276564089.0,72234629.0,348798718.0,348798718.0
2020-12-31,-4646007.207936,0.204459,223740156.0,-22723452.0,-22723452.0,133616117.0,10337025.0,72489533.0,201016704.0,190679679.0,151693561.792064,133616117.0,146258675.0,229601869.0,493499975.0,493499975.0,0.27,0.27,133616117.0,133616117.0,133616117.0,133616117.0,133616117.0,34340110.0,167956227.0,-22723452.0,37796033.0,-22723452.0,22723452.0,190679679.0,73769142.0,-37796033.0,,111565175.0,15764445.0,95800730.0,95800730.0,,264448821.0,72489533.0,336938354.0,336938354.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49119993.0,,,,,39019824.0,,,,
