,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.15,273394739.0,92909565.0,119510170.0,1093513393.0,273394739.0,153884569.0,-42221772.0,42221772.0,92909565.0,92909565.0,1305726146.0,,153884569.0,612000000.0,612000000.0,0.147059,0.147059,92909565.0,92909565.0,92909565.0,-2139605.0,95049170.0,,95049170.0,16613627.0,111662797.0,,,-42221772.0,42221772.0,153884569.0,212212753.0,-9354933.0,221567686.0,35168231.0,186399455.0,186399455.0,366097322.0,1093513393.0,1459610715.0,1459610715.0
2022-12-31,0.0,0.19,237528383.0,115661054.0,79379103.0,821262324.0,237528383.0,158149280.0,-15036142.0,15036142.0,115661054.0,115661054.0,987350421.0,,158149280.0,612000000.0,612000000.0,0.186275,0.186275,115661054.0,115661054.0,115661054.0,369759.0,115291295.0,,115291295.0,27821843.0,143113138.0,,,-15036142.0,15036142.0,158149280.0,166088097.0,-7585666.0,173673763.0,18743117.0,154930646.0,154930646.0,324237377.0,821262324.0,1145499701.0,1145499701.0
2021-12-31,0.0,0.15,369779091.0,232291830.0,73388045.0,793988673.0,369779091.0,296391046.0,-13920366.0,13920366.0,232291830.0,232291830.0,929901668.0,,296391046.0,612000000.0,612000000.0,0.382353,0.382353,232291830.0,232291830.0,232291830.0,-9498149.0,241789979.0,0.0,241789979.0,40680701.0,282470680.0,,,-13920366.0,13920366.0,296391046.0,135912995.0,-7082185.0,142995180.0,16549624.0,126445556.0,126445556.0,432304041.0,793988673.0,1226292714.0,1226292714.0
2020-12-31,0.0,0.07,33904791.0,-28333630.0,60419621.0,602212980.0,33904791.0,-26514830.0,-9542077.0,9542077.0,-28333630.0,-28333630.0,731984436.0,,-26514830.0,612000000.0,612000000.0,-0.046275,-0.046275,-28333630.0,-28333630.0,-28333630.0,5352978.0,-33686608.0,0.0,-33686608.0,-2370299.0,-36056907.0,,,-9542077.0,9542077.0,-26514830.0,129771456.0,-4954462.0,134725918.0,16097339.0,118628579.0,118628579.0,103256626.0,602212980.0,705469606.0,705469606.0
2019-12-31,,,,,,,,,,,,,,6362000.0,,,,,,,,,,,,,,,4955864.0,4955864.0,,,,,,,,,,,,,
