,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Write Off,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,87772.855605,0.075395,-189277605.0,1164167.0,1164167.0,-372853879.0,203119118.0,512172662.0,-188113438.0,-391232556.0,-11275684.0,12025102.0,749418.0,-373930273.144395,-372853879.0,780175448.0,16826000000.0,16826000000.0,-0.022,-0.022,-372853879.0,-372853879.0,-372853879.0,-372853879.0,-372853879.0,-30403779.0,-403257658.0,8212050.0,7047883.0,0.0,0.0,,,1164167.0,-11275684.0,12025102.0,749418.0,-400194024.0,268002786.0,,268002786.0,17947649.0,250055137.0,250055137.0,-132191238.0,512172662.0,379981424.0,379981424.0
2022-12-31,385169.380513,0.083083,-155041011.0,4635942.0,4635942.0,-325596154.0,196500561.0,903951363.0,-150405069.0,-346905630.0,-7711834.0,8193318.0,481484.0,-329846926.619487,-325596154.0,1165949948.0,17738000000.0,16826000000.0,-0.019,-0.019,-325596154.0,-325596154.0,-325596154.0,-325596154.0,-325596154.0,-29502794.0,-355098948.0,17497074.0,12861132.0,15073.0,15073.0,,,4620869.0,-7711834.0,8193318.0,481484.0,-364884188.0,261998585.0,-18510305.0,280508890.0,46973371.0,233535519.0,233535519.0,-102885603.0,903951363.0,801065760.0,801065760.0
2021-12-31,63919.502886,0.10232,-89223691.0,624703.0,624703.0,-241786168.0,180193598.0,341796102.0,-88598988.0,-268792586.0,-438224.0,552973.0,114749.0,-242346951.497114,-241786168.0,579626637.0,17641000000.0,15659000000.0,-0.015,-0.015,-241786168.0,-241786168.0,-241786168.0,-241786168.0,-241786168.0,-27559391.0,-269345559.0,8934706.0,8310003.0,9496.0,9496.0,,0.0,615207.0,-438224.0,552973.0,114749.0,-277842041.0,237830535.0,,237830535.0,11268350.0,226562185.0,226562185.0,-40011506.0,341796102.0,301784596.0,301784596.0
2020-12-31,62437361.2,0.2,-94225035.0,312186806.0,312186806.0,26392493.0,77385272.0,211316.0,217961771.0,140576499.0,-124409661.0,124425730.0,16069.0,-223356951.8,26392493.0,160054743.0,2182000000.0,2182000000.0,0.012,0.012,26392493.0,26392493.0,26392493.0,26392493.0,26392493.0,-10241724.0,16150769.0,300539635.0,-11647171.0,312183975.0,,-274486123.0,-37697852.0,2831.0,-124409661.0,124425730.0,16069.0,-159979205.0,159843427.0,,159843427.0,2047121.0,157796306.0,157796306.0,-135778.0,211316.0,75538.0,75538.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,
