,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.197497,-39112432.0,-48158031.0,20784913.0,593094721.0,-39112432.0,-59897345.0,2926527.0,112420.0,3038947.0,-48158031.0,-48158031.0,665781853.0,-62936292.0,1119954209.0,1119954209.0,-0.043,-0.043,-48158031.0,-48158031.0,-48158031.0,-48158031.0,-48158031.0,-11851734.0,-60009765.0,2926527.0,,112420.0,3038947.0,-62936292.0,72687132.0,38913784.0,33773348.0,9496533.0,24276815.0,24276815.0,9750840.0,593094721.0,602845561.0,602845561.0
2022-12-31,0.0,0.363132,26335264.0,1261239.0,24131669.0,1020053878.0,26335264.0,2203595.0,455603.0,223218.0,678821.0,1261239.0,1261239.0,1079775333.0,1524774.0,1261239000.0,1261239000.0,0.001,0.001,1261239.0,1261239.0,1261239.0,1261239.0,1261239.0,719138.0,1980377.0,455603.0,,223218.0,678821.0,1524774.0,59721455.0,20127505.0,39593950.0,13550620.0,26043330.0,26043330.0,61246229.0,1020053878.0,1081300107.0,1081300107.0
2021-12-31,0.0,0.201441,118565102.0,72120010.0,27934195.0,1241649033.0,118565102.0,90630907.0,424284.0,318227.0,742511.0,72120010.0,72120010.0,1293423975.0,89888396.0,1202000167.0,1202000167.0,0.06,0.06,72120010.0,72120010.0,72120010.0,72120010.0,72120010.0,18192670.0,90312680.0,424284.0,148000.0,318227.0,742511.0,89888396.0,51774942.0,11879375.0,39895567.0,15384668.0,24510899.0,24510899.0,141663338.0,1241649033.0,1383312371.0,1383312371.0
2020-12-31,0.0,0.201304,138297690.0,84017863.0,32886871.0,1411343312.0,138297690.0,105410819.0,417380.0,217000.0,764380.0,84017863.0,84017863.0,1436755363.0,104776919.0,1122961000.0,1122961000.0,0.07,0.07,84017863.0,84017863.0,84017863.0,84017863.0,84017863.0,21175956.0,105193819.0,417380.0,130000.0,217000.0,764380.0,104776919.0,25412051.0,-20010190.0,45422241.0,20401655.0,25020586.0,25020586.0,130188970.0,1411343312.0,1541532282.0,1541532282.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,167000.0,,,,,,,,,,,,,
