,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,488106.808593,0.060536,973424460.0,8063060.0,8063060.0,743006537.0,174894480.0,3508658203.0,981487520.0,806593040.0,-10962291.0,10962291.0,735431583.808593,743006537.0,4524082450.0,,807354152.0,1380000000.0,1380000000.0,0.54,0.54,743006537.0,743006537.0,743006537.0,-4459770.0,747466307.0,747466307.0,48164442.0,795630749.0,7301948.0,,0.0,0.0,-761112.0,8063060.0,-10962291.0,10962291.0,799291092.0,1015424247.0,-22947254.0,1038371501.0,632892865.0,405478636.0,405478636.0,1814715339.0,3508658203.0,5323373542.0,5323373542.0
2022-12-31,230871.244638,0.08314,673286295.0,2776885.0,2776885.0,434743797.0,190632204.0,3111388058.0,676063180.0,485430976.0,-11352784.0,11352784.0,432197783.244638,434743797.0,3883666476.0,24917.0,485753957.0,1380000000.0,1380000000.0,0.31,0.31,434743797.0,434743797.0,434743797.0,80641.0,434663156.0,434663156.0,39415036.0,474078192.0,2453904.0,,0.0,0.0,-322981.0,2776885.0,-11352784.0,11352784.0,482977072.0,772278418.0,-30378612.0,802657030.0,493256641.0,309400389.0,309400389.0,1255255490.0,3111388058.0,4366643548.0,4366643548.0
2021-12-31,432093.741012,0.053846,377650367.0,8024624.0,8024624.0,182125292.0,181680289.0,2742413186.0,385674991.0,203994702.0,-12730692.0,12730692.0,174532761.741012,182125292.0,3414962645.0,33079.0,203994702.0,1380000000.0,1380000000.0,0.13,0.13,182125292.0,182125292.0,182125292.0,1160080.0,180965212.0,180965212.0,10298798.0,191264010.0,8024624.0,,0.0,0.0,0.0,8024624.0,-12730692.0,12730692.0,195970078.0,672549459.0,-25528415.0,698077874.0,399741083.0,298336791.0,298336791.0,868519537.0,2742413186.0,3610932723.0,3610932723.0
2020-12-31,33569.910437,0.11419,473759605.0,293984.0,293984.0,242620869.0,182917596.0,2959050876.0,474053589.0,291135993.0,-18084344.0,18084344.0,242360454.910437,242620869.0,3692271679.0,59132000.0,291135993.0,1380000000.0,1380000000.0,0.18,0.18,242620869.0,242620869.0,242620869.0,748874.0,241871995.0,241871995.0,31179654.0,273051649.0,293984.0,,,,,293984.0,-18084344.0,18084344.0,290842009.0,733220803.0,-15863426.0,749084229.0,442360131.0,306724098.0,306724098.0,1024062812.0,2959050876.0,3983113688.0,3983113688.0
2019-12-31,,,,,,,,,,,,,,,,136693000.0,,,,,,,,,,,,,,,29558399.0,,,0.0,,,,,,,,,,,,,,
