,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,27759660.0,0.06,9526498000.0,462661000.0,462661000.0,3217863000.0,3315814000.0,29919526000.0,9989159000.0,6673345000.0,-2075958000.0,2075793000.0,,2782961660.0,3217863000.0,37129663000.0,6646535000.0,18935235000.0,18935235000.0,0.17,0.17,3217863000.0,3217863000.0,3217863000.0,-1087275000.0,4305138000.0,4305138000.0,292414000.0,4597552000.0,995717000.0,506081000.0,,,,26975000.0,462661000.0,-2075958000.0,165000.0,2075793000.0,,5677793000.0,4229768000.0,-1186595000.0,335445000.0,335445000.0,35879000.0,35879000.0,299566000.0,5080918000.0,3222407000.0,1858511000.0,1858511000.0,,9907561000.0,32899895000.0,42807456000.0,42807456000.0
2022-12-31,10161220.0,0.02,12725480000.0,508061000.0,508061000.0,7007607000.0,3292473000.0,32403784000.0,13233541000.0,9941068000.0,-1934590000.0,1930464000.0,,6509707220.0,7007607000.0,39585612000.0,9923914000.0,18943508000.0,18943508000.0,0.37,0.37,7007607000.0,7007607000.0,7007607000.0,-837169000.0,7844776000.0,7844776000.0,165828000.0,8010604000.0,1397807000.0,868466000.0,14102000.0,-14102000.0,,21280000.0,508061000.0,-1934590000.0,4126000.0,1930464000.0,,8547387000.0,4259280000.0,-1453474000.0,369925000.0,369925000.0,34819000.0,34819000.0,335106000.0,5342829000.0,3575996000.0,1766833000.0,1766833000.0,1864942000.0,12806667000.0,35326332000.0,48132999000.0,48132999000.0
2021-12-31,31614380.0,0.07,12159388000.0,451634000.0,451634000.0,5670534000.0,3097646000.0,23657932000.0,12611022000.0,9513376000.0,-2061541000.0,2056140000.0,,5250514380.0,5670534000.0,30377011000.0,9494074000.0,19101858000.0,19101858000.0,0.297,0.297,5670534000.0,5670534000.0,5670534000.0,-1247425000.0,6917959000.0,6917959000.0,539277000.0,7457236000.0,976003000.0,499666000.0,510000.0,-510000.0,,24703000.0,451124000.0,-2061541000.0,5401000.0,2056140000.0,,8542774000.0,3986011000.0,-1351585000.0,364578000.0,364578000.0,,,,4973018000.0,2272577000.0,2700441000.0,926129000.0,1774312000.0,12528785000.0,26391000000.0,38919785000.0,38919785000.0
2020-12-31,-290854400.0,0.2,9350092000.0,-1454272000.0,-1454272000.0,1498152000.0,3124488000.0,22155980000.0,7895820000.0,4771332000.0,-2014903000.0,2006491000.0,,2661569600.0,1498152000.0,28684386000.0,,18902959000.0,18902959000.0,0.079,0.079,1498152000.0,1498152000.0,1498152000.0,-1341014000.0,2839166000.0,2839166000.0,-74325000.0,2764841000.0,-811640000.0,586311000.0,-1501480000.0,-100340000.0,1601820000.0,56321000.0,47208000.0,-2014903000.0,8412000.0,2006491000.0,,5591384000.0,3747285000.0,-1109133000.0,343367000.0,343367000.0,,,343367000.0,4513051000.0,2100926000.0,2412125000.0,680892000.0,1731233000.0,9338669000.0,24937101000.0,34275770000.0,34275770000.0
2019-12-31,,,,,,,,,,,,,90640000.0,,,,,,,,,,,,,,,,,,,43567000.0,-43567000.0,,,,,,,90640000.0,,,,,,5577000.0,5577000.0,245269000.0,,,,,2062475000.0,,,,
