,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Selling General And Administration,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Other Non Interest Expense
2022-12-31,0.0,0.205,2352521000.0,279817000.0,11052351000.0,1632385000.0,12684736000.0,2352521000.0,2352521000.0,1229289222.0,1229289222.0,1.913725,1.913725,2352521000.0,2352521000.0,2352521000.0,2352521000.0,2352521000.0,607393000.0,2959914000.0,-9475000.0,3056938000.0,3056938000.0,3056938000.0,11222174000.0,11222174000.0,602859000.0,776604000.0
2021-12-31,0.0,0.205,1935017000.0,248957000.0,8493584000.0,1307386000.0,9800970000.0,1935017000.0,1935017000.0,1229289222.0,1229289222.0,1.574094,1.574094,1935017000.0,1935017000.0,1935017000.0,1935017000.0,1935017000.0,497853000.0,2432870000.0,-3742000.0,2607181000.0,2607181000.0,2607181000.0,8738279000.0,8738279000.0,520197000.0,571317000.0
