,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.21,115587144.3,56187357.47,41397882.56,349450980.48,115587144.3,74189261.74,-3422508.76,3422508.76,56187357.47,56187357.47,399329298.9,74189261.74,10000000.0,10000000.0,5.62,5.62,56187357.47,56187357.47,56187357.47,56187357.47,56187357.47,14579395.51,70766752.98,,,-3422508.76,3422508.76,74189261.74,49878318.42,-8893672.7,58771991.12,1996395.0,56775596.12,56775596.12,124067580.16,349450980.48,473518560.64,473518560.64
2022-12-31,0.0,0.2,162723650.73,100053889.46,34384266.09,331853100.59,162723650.73,128339384.64,-3081183.42,3081183.42,100053889.46,100053889.46,388249229.38,128339384.64,10000000.0,10000000.0,10.01,10.01,100053889.46,100053889.46,100053889.46,100053889.46,100053889.46,25204311.76,125258201.22,6845718.43,6845718.43,-3081183.42,3081183.42,128339384.64,56396128.79,-6845718.43,63241847.22,1506742.0,61735105.22,61735105.22,184735513.43,331853100.59,516588614.02,516588614.02
2021-12-31,0.0,0.15,45956005.68,8751985.75,32090315.43,256970561.49,45956005.68,13865690.25,-3523149.31,3523149.31,8751985.75,8751985.75,313784659.4,,10000000.0,10000000.0,0.88,0.88,8751985.75,8751985.75,8751985.75,8751985.75,8751985.75,1590555.19,10342540.94,5575504.28,5575504.28,-3523149.31,3523149.31,13865690.25,56814097.91,-5575504.28,62389602.19,,62389602.19,62389602.19,70679788.16,256970561.49,327650349.65,327650349.65
2020-12-31,0.0,0.09,39798953.09,1635559.18,34102677.14,239812841.0,39798953.09,5696275.95,-3908579.37,3908579.37,1635559.18,1635559.18,300213451.98,,10000000.0,10000000.0,0.16,0.16,1635559.18,1635559.18,1635559.18,1635559.18,1635559.18,152137.4,1787696.58,6734338.17,6734338.17,-3908579.37,3908579.37,5696275.95,60400610.98,-6734338.17,67134949.15,,67134949.15,67134949.15,66096886.93,239812841.0,305909727.93,305909727.93
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,5250574.47,5250574.47,,,,,,,,,,,,,
