,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,668433058.0,181044324.0,247906642.0,1305915728.0,668433058.0,420526416.0,-243612226.0,243612226.0,181044324.0,181044324.0,1412480366.0,1087833099.0,1087833099.0,0.1664,0.1664,181044324.0,181044324.0,181044324.0,0.0,181044324.0,181044324.0,-4130134.0,176914190.0,30282118.0,30282118.0,-243612226.0,243612226.0,390244298.0,106564638.0,106564638.0,34614608.0,71950030.0,71950030.0,496808936.0,1305915728.0,1802724664.0,1802724664.0
2022-12-31,0.0,0.2,355819848.0,150355858.0,155235376.0,2469596369.0,355819848.0,200584472.0,-62244341.0,62244341.0,150355858.0,150355858.0,2593759653.0,1087833099.0,1087833099.0,0.1382,0.1382,150355858.0,150355858.0,150355858.0,604149.0,149751709.0,149751709.0,-11411578.0,138340131.0,48054155.0,48054155.0,-62244341.0,62244341.0,152530317.0,124163284.0,124163284.0,33716742.0,90446542.0,90446542.0,276693601.0,2469596369.0,2746289970.0,2746289970.0
2021-12-31,0.0,0.158363,554878075.0,352888683.0,109838678.0,1226223465.0,554878075.0,445039397.0,-26570067.0,26570067.0,352888683.0,352888683.0,1392777755.0,1087833056.0,1087833056.0,0.3244,0.3244,352888683.0,352888683.0,352888683.0,689589.0,352199094.0,352199094.0,66270236.0,418469330.0,473665914.0,473665914.0,-26570067.0,26570067.0,-28626517.0,166554290.0,166554290.0,35768082.0,130786208.0,130786208.0,137927773.0,1226223465.0,1364151238.0,1364151238.0
2020-12-31,0.0,0.238343,125227498.0,-8762679.0,122156509.0,548674695.0,125227498.0,3070989.0,-15219842.0,15219842.0,-8762679.0,-8762679.0,732670406.0,1087833056.0,1087833056.0,-0.0081,-0.0081,-8762679.0,-8762679.0,-8762679.0,490575.0,-9253254.0,-9253254.0,-2895599.0,-12148853.0,16456158.0,16456158.0,-15219842.0,15219842.0,-13385169.0,183995711.0,183995711.0,34479396.0,149516315.0,149516315.0,170610542.0,548674695.0,719285237.0,719285237.0
