,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Taxes,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.200614,1103865637.59,834335000.24,46215290.12,2931039693.59,1103865637.59,1057650347.47,-13930179.41,13930179.41,834335000.24,834335000.24,3734483708.26,,924999441.0,924999441.0,0.9,0.9,834335000.24,834335000.24,834335000.24,834335000.24,834335000.24,209385167.82,1043720168.06,19464636.73,19464636.73,-13930179.41,13930179.41,1038185710.74,803444014.67,174363878.0,629080136.67,338089457.45,290990679.22,290990679.22,1841629725.41,2931039693.59,4772669419.0,4781465040.0
2022-12-31,0.0,0.200653,1644727811.94,1271457539.27,42368197.18,3797257563.15,1644727811.94,1602359614.76,-11739029.92,11739029.92,1271457539.27,1271457539.27,4636765612.12,86401913.09,924999441.0,924999441.0,1.37,1.37,1271457539.27,1271457539.27,1271457539.27,1271457539.27,1271457539.27,319163045.57,1590620584.84,18744695.88,18744695.88,-11739029.92,11739029.92,1583614918.88,839508048.97,218631056.0,620876992.97,328221350.79,292655642.18,292655642.18,2423122967.85,3797257563.15,6220380531.0,6233556844.0
2021-12-31,0.0,0.200177,1798163568.78,1389212983.11,47875918.41,4010350955.89,1798163568.78,1750287650.37,-13388055.39,13388055.39,1389212983.11,1389212983.11,4839289979.26,88538321.32,924999441.0,924999441.0,1.5,1.5,1389212983.11,1389212983.11,1389212983.11,1389212983.11,1389212983.11,347686611.87,1736899594.98,16672568.63,16672568.63,-13388055.39,13388055.39,1733615081.74,828939023.37,231076810.5,597862212.87,303555103.11,294307109.76,294307109.76,2562554105.11,4010350955.89,6572905061.0,6585185676.5
2020-12-31,0.0,0.201001,1735985455.56,1333171373.78,50910327.91,3502129133.46,1735985455.56,1685075127.65,-16523762.49,16523762.49,1333171373.78,1333171373.78,4235139482.8,80627264.37,924999441.0,924999441.0,1.44,1.44,1333171373.78,1333171373.78,1333171373.78,1333171373.78,1333171373.78,335379991.38,1668551365.16,171393005.45,171393005.45,-16523762.49,16523762.49,1513682122.2,733010349.34,201123739.0,531886610.34,279263245.92,252623364.42,252623364.42,2246692471.54,3502129133.46,5748821605.0,5765468521.64
2019-12-31,,,,,,,,,,,,,,75291448.55,,,,,,,,,,,,,,,,,,,,,,,,,,
