,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2022-12-31,0.0,0.2471,149966000.0,52063000.0,76154000.0,318596000.0,149966000.0,73812000.0,-4769000.0,4769000.0,52063000.0,52063000.0,567781000.0,1004700060.0,1004700060.0,0.054945,0.054945,52063000.0,52063000.0,52063000.0,82000.0,51981000.0,51981000.0,17062000.0,69043000.0,5646000.0,5646000.0,-4769000.0,4769000.0,68166000.0,249185000.0,,249185000.0,46703000.0,202482000.0,202482000.0,317351000.0,318596000.0,635947000.0,635947000.0
2021-12-31,0.0,0.2184,174552000.0,78453000.0,71449000.0,297812000.0,174552000.0,103103000.0,-5015000.0,5015000.0,78453000.0,78453000.0,488426000.0,982800000.0,982800000.0,0.079826,0.079826,78453000.0,78453000.0,78453000.0,1213000.0,77240000.0,77240000.0,20848000.0,98088000.0,6058000.0,6058000.0,-5015000.0,5015000.0,97045000.0,190614000.0,-6058000.0,190614000.0,37117000.0,153497000.0,153497000.0,287659000.0,297812000.0,585471000.0,585471000.0
2020-12-31,0.0,0.230719,217994000.0,110576000.0,70801000.0,282877000.0,217994000.0,147193000.0,-5341000.0,5341000.0,110576000.0,110576000.0,492182000.0,982800000.0,982800000.0,0.112511,0.112511,110576000.0,110576000.0,110576000.0,1452000.0,109124000.0,109124000.0,32728000.0,141852000.0,3827000.0,3827000.0,-5341000.0,5341000.0,143366000.0,209305000.0,-3827000.0,209305000.0,56634000.0,152671000.0,152671000.0,352671000.0,282877000.0,635548000.0,635548000.0
2019-12-31,0.0,0.231131,286266000.0,168014000.0,64224000.0,301694000.0,286266000.0,222042000.0,-5507000.0,5507000.0,168014000.0,168014000.0,588901000.0,982800000.0,982800000.0,0.170954,0.170954,168014000.0,168014000.0,168014000.0,1527000.0,166487000.0,166487000.0,50048000.0,216535000.0,5366000.0,5366000.0,-5507000.0,5507000.0,216676000.0,287207000.0,-5366000.0,287207000.0,100279000.0,186928000.0,186928000.0,503883000.0,301694000.0,805577000.0,805577000.0
