,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-1778179.95285,0.178164,46193548.0,-9980555.0,-9980555.0,16763921.0,15425571.0,742158753.0,36212993.0,20787422.0,1710097.0,389277.0,2099374.0,24966296.04715,16763921.0,799775938.0,18688048.0,838196050.0,838196050.0,0.02,0.02,16763921.0,16763921.0,16763921.0,0.0,16763921.0,16763921.0,3634224.0,20398145.0,-9980555.0,,-9980555.0,9980555.0,,0.0,,1710097.0,389277.0,2099374.0,28668603.0,57617185.0,-4164771.0,-4854962.0,66636918.0,66636918.0,66636918.0,86285788.0,742158753.0,828444541.0,828444541.0
2022-12-31,3465338.887947,0.202639,152710935.0,17101039.0,17101039.0,123719136.0,14266684.0,586299559.0,169811974.0,155545290.0,528632.0,384517.0,913149.0,110083435.887947,123719136.0,632380853.0,156852478.0,1124719418.0,1124719418.0,0.11,0.11,123719136.0,123719136.0,123719136.0,0.0,123719136.0,123719136.0,31441637.0,155160773.0,14880702.0,,0.0,,,-2220337.0,17101039.0,528632.0,384517.0,913149.0,139751439.0,46081294.0,-6336053.0,-10604607.0,63021954.0,63021954.0,63021954.0,185832733.0,586299559.0,772132292.0,772132292.0
2021-12-31,15785509.12,0.16,27959955.0,98659432.0,98659432.0,92429568.0,16128937.0,373542554.0,126619387.0,110490450.0,2008533.0,263560.0,2272093.0,9555645.12,92429568.0,423271588.0,128008314.0,1026995200.0,1026995200.0,0.09,0.09,92429568.0,92429568.0,92429568.0,0.0,92429568.0,92429568.0,17797322.0,110226890.0,93869475.0,15000000.0,,,,-19789957.0,98659432.0,2008533.0,263560.0,2272093.0,14348882.0,49729034.0,-12076866.0,-6066811.0,67872711.0,67872711.0,67872711.0,64077916.0,373542554.0,437620470.0,437620470.0
2020-12-31,0.0,0.2,-87344134.0,279183.0,279183.0,-89820736.0,15227335.0,416669425.0,-87344134.0,-102571469.0,1043219.0,244514.0,1287733.0,-89820736.0,-89820736.0,517142229.0,-80263419.0,1122759200.0,1122759200.0,-0.08,-0.08,-89820736.0,-89820736.0,-89820736.0,0.0,-89820736.0,-89820736.0,-12995247.0,-102815983.0,-23595783.0,6155119.0,,,,-23595783.0,279183.0,1043219.0,244514.0,1287733.0,-80263419.0,100472804.0,-6155119.0,40338632.0,66289291.0,66289291.0,66289291.0,20209385.0,416669425.0,436878810.0,436878810.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6998245.0,-16166530.0,,16166530.0,,2263708.0,,,,,,,,,,,,,,
