,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Write Off,Gain On Sale Of Security,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Other Non Interest Expense
2023-12-31,-832032101.7,0.1961,-4242897000.0,-4242897000.0,5443403000.0,822378000.0,24066291000.0,6651151000.0,30717442000.0,8854267898.3,5443403000.0,846751000.0,846751000.0,6.43,6.43,5443403000.0,5443403000.0,5443403000.0,-12546000.0,5455949000.0,5455949000.0,1330686000.0,6786635000.0,563479000.0,0.0,-3325000.0,-560154000.0,1843047000.0,9138482000.0,221804000.0,8916678000.0,1772465000.0,7144213000.0,25719206000.0,25719206000.0,1323212000.0,2951856000.0
2022-12-31,-307939262.4,0.1974,-1559976000.0,-1559976000.0,7602096000.0,688161000.0,19901532000.0,3768984000.0,23670516000.0,8854132737.6,7602096000.0,846751000.0,846751000.0,8.98,8.98,7602096000.0,7602096000.0,7602096000.0,-14344000.0,7616440000.0,7616440000.0,1873389000.0,9489829000.0,-19598000.0,0.0,-19378000.0,38976000.0,-2433705000.0,8015792000.0,195081000.0,7820711000.0,820183000.0,7000528000.0,26792104000.0,26792104000.0,1113326000.0,3117972000.0
2021-12-31,-286053243.0,0.1849,-1547070000.0,-1547070000.0,6318052000.0,692752000.0,15700636000.0,3788433000.0,19489069000.0,7579068757.0,6318052000.0,846751000.0,846751000.0,7.46,7.46,6318052000.0,6318052000.0,6318052000.0,-37261000.0,6355313000.0,6355313000.0,1441616000.0,7796929000.0,-43403000.0,0.0,-16189000.0,59592000.0,-2977074000.0,6563743000.0,99022000.0,6464721000.0,,6464721000.0,22718787000.0,22718787000.0,1003044000.0,2111426000.0
2020-12-31,-356076556.6,0.2071,-1719346000.0,-1719346000.0,5123266000.0,798059000.0,14679187000.0,4904954000.0,19584141000.0,6486535443.4,5123266000.0,846751000.0,846751000.0,6.05,6.05,5123266000.0,5123266000.0,5123266000.0,-19863000.0,5143129000.0,5143129000.0,1343722000.0,6486851000.0,-825488000.0,0.0,-23075000.0,848563000.0,4975172000.0,5840299000.0,143207000.0,5697092000.0,,5697092000.0,20310110000.0,20310110000.0,1139782000.0,1923202000.0
