,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.174796,8533345863.0,,,3478651514.0,1967603087.0,9310857732.0,8533345863.0,6565742776.0,-2371021000.0,2350172000.0,,3478651514.0,3478651514.0,9787818024.0,6586591607.0,15124571800.0,15124571800.0,0.23,0.23,3478651514.0,3478651514.0,3478651514.0,-54693.0,3478706207.0,3478706207.0,736864569.0,4215570776.0,,,,,-2371021000.0,20849000.0,2350172000.0,,6586591607.0,476960292.0,-764305986.0,1241266278.0,196542242.0,1044724036.0,1044724036.0,7063551899.0,9310857732.0,16374409631.0,16374409631.0
2022-12-31,0.0,0.140321,6757884496.0,551535569.0,551535569.0,2436184543.0,1589261854.0,8447064226.0,6757884496.0,5168622642.0,-2360680000.0,2334708000.0,187223397.0,2436184543.0,2436184543.0,8834844613.0,5194594611.0,15226153394.0,15226153394.0,0.16,0.16,2436184543.0,2436184543.0,2436184543.0,-71526.0,2436256069.0,2436256069.0,397658573.0,2833914642.0,584811362.0,33275793.0,,551535569.0,-2360680000.0,25972000.0,2334708000.0,187223397.0,5194594611.0,387780387.0,-772034759.0,1159815146.0,126823156.0,1032991990.0,1032991990.0,5582374998.0,8447064226.0,14029439224.0,14029439224.0
2021-12-31,57564346.573331,0.116957,3945280316.0,492182682.0,492182682.0,1010097493.0,1128606378.0,6989670636.0,4437462998.0,3308856620.0,-1959821549.0,2163894000.0,227222451.0,575479157.573331,1010097493.0,8149582611.0,3332006681.0,14429964186.0,14429964186.0,0.07,0.07,1010097493.0,1010097493.0,1010097493.0,-953416.0,1011050909.0,1011050909.0,133911711.0,1144962620.0,527644451.0,35461769.0,,492182682.0,-1959821549.0,23150000.0,2163894000.0,227222451.0,2577139779.0,1159911975.0,,1159911975.0,91863188.0,1068048787.0,1068048787.0,3737051754.0,6989670636.0,10726722390.0,10726722390.0
2020-12-31,76214083.07432,0.15674,5897050248.0,486246027.0,486246027.0,2051090045.0,1857979562.0,8426891754.0,6383296275.0,4525316713.0,-1816462171.0,2088672000.0,296044829.0,1641058101.07432,2051090045.0,9773409500.0,4549151681.0,15777615731.0,15777615731.0,0.13,0.13,2051090045.0,2051090045.0,2051090045.0,-3635573.0,2054725618.0,2054725618.0,381919095.0,2436644713.0,537055896.0,50809869.0,0.0,486246027.0,-1816462171.0,23835000.0,2088672000.0,296044829.0,3716050956.0,1346517746.0,,1346517746.0,169847473.0,1176670273.0,1176670273.0,5062568702.0,8426891754.0,13489460456.0,13489460456.0
2019-12-31,,,,3847575898.0,3847575898.0,,,,,,,,392633384.0,,,,,,,,,,,,,,,,,4076799411.0,56312532.0,172910981.0,3847575898.0,,,,392633384.0,,,,,,,,,,,
