,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,2573992.148043,0.19399,296154569.0,13268718.0,13268718.0,188759695.0,75048046.0,1372905217.0,309423287.0,234375241.0,1146268.0,185118.0,1331386.0,178064969.148043,188759695.0,1594782665.0,234375241.0,149909264.0,149909264.0,1.26,1.26,188759695.0,188759695.0,188759695.0,188759695.0,188759695.0,45430428.0,234190123.0,34589253.0,21320535.0,13268718.0,1146268.0,185118.0,1331386.0,198454602.0,221877448.0,,221877448.0,221877448.0,221877448.0,420332050.0,1372905217.0,1793237267.0,1780164142.0
2022-12-31,646036.010251,0.198868,406005619.0,3248565.0,3248565.0,271053336.0,70716128.0,1441249637.0,409254184.0,338538056.0,346540.0,200084.0,546624.0,268450807.010251,271053336.0,1650033956.0,338538056.0,149909264.0,149909264.0,1.81,1.81,271053336.0,271053336.0,271053336.0,271053336.0,271053336.0,67284636.0,338337972.0,27538974.0,24290409.0,3248565.0,346540.0,200084.0,546624.0,310452458.0,208784319.0,,208784319.0,208784319.0,208784319.0,519236777.0,1441249637.0,1960486414.0,1947489764.0
2021-12-31,0.0,0.1961,390331558.0,,,258437436.0,68716311.0,1394517182.0,390331558.0,321615247.0,1740511.0,124465.0,1864976.0,258437436.0,258437436.0,1527916944.0,321615247.0,149909264.0,149909264.0,1.72,1.72,258437436.0,258437436.0,258437436.0,258437436.0,258437436.0,63053346.0,321490782.0,22409086.0,22409086.0,,1740511.0,124465.0,1864976.0,297341185.0,133399762.0,,133399762.0,133399762.0,133399762.0,430740947.0,1394517182.0,1825258129.0,1811882624.0
2020-12-31,0.0,0.1936,158383950.0,,,72198250.0,68732172.0,1244517813.0,158383950.0,89651778.0,3066387.0,195280.0,3261667.0,72198250.0,72198250.0,1350881521.0,89651778.0,149909264.0,149909264.0,0.48,0.48,72198250.0,72198250.0,72198250.0,72198250.0,72198250.0,17258248.0,89456498.0,18382208.0,18382208.0,,3066387.0,195280.0,3261667.0,68007903.0,106363708.0,,106363708.0,106363708.0,106363708.0,174371611.0,1244517813.0,1418889424.0,1405474475.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12342900.0,,,,,,,
