,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-130666.006,0.2,324678538.68,-653330.03,-653330.03,255429489.44,18270765.36,324025208.65,324025208.65,-68595719.21,68595719.21,255952153.464,255429489.44,19731781.03,315000000.0,315000000.0,0.810887,0.810887,255429489.44,255429489.44,255429489.44,255429489.44,255429489.44,255429489.44,-653330.03,-653330.03,-68595719.21,68595719.21,324678538.68,1461015.67,1461015.67,326139554.35,18270765.36,344410319.71,344410319.71
2022-12-31,-120825.394,0.2,319184853.99,-604126.97,-604126.97,257493227.0,18275396.94,318580727.02,318580727.02,-61087500.02,61087500.02,257976528.576,257493227.0,19610354.8,315000000.0,315000000.0,0.817439,0.817439,257493227.0,257493227.0,257493227.0,257493227.0,257493227.0,257493227.0,-604126.97,-604126.97,-61087500.02,61087500.02,319184853.99,1334957.86,1334957.86,320519811.85,18275396.94,338795208.79,338795208.79
2021-12-31,-439.024,0.2,146652991.37,-2195.12,-2195.12,118199083.9,8566856.64,146650796.25,146650796.25,-28451712.35,28451712.35,118200839.996,118199083.9,9221543.92,315000000.0,315000000.0,0.375235,0.375235,118199083.9,118199083.9,118199083.9,118199083.9,118199083.9,118199083.9,-2195.12,-2195.12,-28451712.35,28451712.35,146652991.37,654687.28,,147307678.65,8566856.64,155874535.29,155874535.29
