,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2,124900543.0,0.0,0.0,93613144.0,7552894.0,47259003.0,124900543.0,117347649.0,-59356.0,59356.0,93613144.0,96570097.0,329422968.0,1072823566.0,998173177.0,0.09,0.097,96570097.0,96570097.0,96570097.0,-1641245.0,98211342.0,2956953.0,95254389.0,22033904.0,117288293.0,4229952.0,4229952.0,0.0,0.0,-59356.0,59356.0,113117697.0,282163965.0,,179274803.0,102889162.0,1822672.0,101066490.0,101066490.0,395281662.0,47259003.0,442540665.0,442540665.0
2022-12-31,0.0,0.16,220203526.0,0.0,0.0,175343553.0,5748975.0,47559289.0,220203526.0,214454551.0,-120175.0,120175.0,175343553.0,175343553.0,209689067.0,1169950000.0,970050000.0,0.15,0.181,175343553.0,175343553.0,175343553.0,-4251184.0,179594737.0,0.0,179594737.0,34739639.0,214334376.0,7229045.0,7229045.0,0.0,0.0,-120175.0,120175.0,207225506.0,162129778.0,,75835176.0,86294602.0,2817298.0,83477304.0,83477304.0,369355284.0,47559289.0,416914573.0,416914573.0
2021-12-31,0.0,0.09,114110563.0,,,96110670.0,5099348.0,24109601.0,114110563.0,109011215.0,-106287.0,106287.0,96110670.0,96110670.0,49011358.0,965030000.0,965030000.0,0.1,0.1,96110670.0,96110670.0,96110670.0,-2995319.0,99105989.0,,99105989.0,9798939.0,108904928.0,33702459.0,33702459.0,,,-106287.0,106287.0,75308756.0,24901757.0,,,24901757.0,2158439.0,22743318.0,22743318.0,100210513.0,24109601.0,124320114.0,124320114.0
2020-12-31,0.0,0.003934,34039152.0,,,26079829.0,6150413.0,19794672.0,34039152.0,27888739.0,-145457.0,145457.0,26079829.0,26079829.0,39641063.0,965034949.0,965034949.0,0.027,0.027,26079829.0,26079829.0,26079829.0,-1554319.0,27634148.0,,27634148.0,109134.0,27743282.0,6577837.0,6577837.0,,,-145457.0,145457.0,21310902.0,19846391.0,-6577837.0,,19846391.0,2451343.0,17395048.0,17395048.0,41157293.0,19794672.0,60951965.0,60951965.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4976996.0,,,,,,,,,
