,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,114762.681984,0.192942,161297991.0,594804.0,594804.0,66885987.0,77508034.0,1108492563.0,161892795.0,84384761.0,-1508167.0,1508167.0,66405945.681984,66885987.0,1252415991.0,85295038.0,341093000.0,341093000.0,0.196,0.196,66885987.0,66885987.0,66885987.0,-230.0,66886217.0,,66886217.0,15990377.0,82876594.0,-315473.0,,0.0,,0.0,,-910277.0,594804.0,-1508167.0,1508167.0,84700234.0,143923428.0,-23195396.0,167118824.0,54202455.0,112916369.0,112916369.0,228623662.0,1108492563.0,1337116225.0,1337116225.0
2022-12-31,0.0,0.175531,101830502.0,0.0,0.0,15835512.0,81654000.0,1068079772.0,101830502.0,20176502.0,-969587.0,969587.0,15835512.0,15835512.0,1195771604.0,20682654.0,341093000.0,341093000.0,0.046,0.046,15835512.0,15835512.0,15835512.0,0.0,15835512.0,,15835512.0,3371403.0,19206915.0,-506152.0,,0.0,0.0,0.0,0.0,-506152.0,,-969587.0,969587.0,20682654.0,127691832.0,-20243739.0,147935571.0,45984488.0,101951083.0,101951083.0,148374486.0,1068079772.0,1216454258.0,1216454258.0
2021-12-31,-5329770.492862,0.173756,218081258.0,-30673826.0,-30673826.0,88355298.0,79212289.0,875421454.0,187407432.0,108195143.0,-1259020.0,1259020.0,113699353.507138,88355298.0,1020984730.0,120335685.0,341093000.0,341093000.0,0.259,0.259,88355298.0,88355298.0,88355298.0,0.0,88355298.0,,88355298.0,18580825.0,106936123.0,-42814368.0,11427069.0,-27601840.0,1605445.0,-14592715.0,43800000.0,-12140542.0,-3071986.0,-1259020.0,1259020.0,151009511.0,145563276.0,-11427069.0,156990345.0,41957858.0,115032487.0,115032487.0,296572787.0,875421454.0,1171994241.0,1171994241.0
2020-12-31,520957.839714,0.148197,265117289.0,3515311.0,3515311.0,157735932.0,81154601.0,706467551.0,268632600.0,187477999.0,-2330222.0,2330222.0,154741578.839714,157559509.0,853277181.0,185147777.0,341092557.0,341092557.0,0.462,0.462,157559509.0,157559509.0,157559509.0,26463.0,157533046.0,-176423.0,157709469.0,27438308.0,185147777.0,21262382.0,17747071.0,304996.0,,-304996.0,,,3210315.0,-2330222.0,2330222.0,166215617.0,146809630.0,,146809630.0,36446163.0,110363467.0,110363467.0,313025247.0,706467551.0,1019492798.0,1019492798.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,-1659961.0,,,,,18501153.0,,0.0,,,0.0,2380349.0,,,,,,,,,,,,,
