,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-03-31,3522753.24,0.12,795032433.0,29356277.0,29356277.0,272000400.0,496800973.0,8813968764.0,824388710.0,327587737.0,-12811666.0,17669039.0,4857373.0,246166876.24,272000400.0,9299845770.0,205653289.0,57840000.0,57840000.0,4.7,4.7,272000400.0,272000400.0,272000400.0,272000400.0,272000400.0,37918298.0,309918698.0,151290725.0,,121934448.0,29356277.0,-12811666.0,17669039.0,4857373.0,171439639.0,485877006.0,-50017526.0,535894532.0,314950282.0,220944250.0,220944250.0,657316645.0,8813968764.0,9471285409.0,9471285409.0
2023-03-31,272339.59,0.01,627418347.0,27233959.0,27233959.0,86362473.0,549774471.0,9337499436.0,654652306.0,104877835.0,-16059696.0,18062704.0,2003008.0,59400853.59,86362473.0,9889175794.0,14687289.0,57840000.0,57840000.0,1.49,1.49,86362473.0,86362473.0,86362473.0,86362473.0,86362473.0,452658.0,86815131.0,117424505.0,,90190546.0,27233959.0,-16059696.0,18062704.0,2003008.0,-14549678.0,551676358.0,-36740955.0,588417313.0,382474656.0,205942657.0,205942657.0,537126680.0,9337499436.0,9874626116.0,9874626116.0
2022-03-31,19876124.923158,0.263417,479317437.0,75454873.0,75454873.0,-56719649.0,612327866.0,7868722508.0,554772310.0,-57555556.0,-18816639.0,19448228.0,631589.0,-112298397.076842,-56719649.0,8337325909.0,-57555556.0,57840000.0,57840000.0,-0.98,-0.98,-56719649.0,-56719649.0,-56719649.0,-56719649.0,-56719649.0,-20284135.0,-77003784.0,75454873.0,,0.0,75454873.0,-18816639.0,19448228.0,631589.0,-133642018.0,468603401.0,-63814526.0,532417927.0,326642463.0,205775464.0,205775464.0,334961383.0,7868722508.0,8203683891.0,8203683891.0
2021-03-31,8125465.226257,0.213165,-20679418.0,38118115.0,38118115.0,-567554937.0,698469519.0,6623262463.0,17438697.0,-681030822.0,-37888085.0,40283384.0,2395299.0,-597547586.773743,-567554937.0,7218358181.0,-727867061.0,57840000.0,57840000.0,-9.81,-9.81,-567554937.0,-567554937.0,-567554937.0,-567554937.0,-567554937.0,-153759269.0,-721314206.0,84954354.0,24443540.0,46836239.0,38118115.0,-37888085.0,40283384.0,2395299.0,-768380475.0,595095718.0,-24443540.0,619539258.0,244949555.0,374589703.0,374589703.0,-173284757.0,6623262463.0,6449977706.0,6449977706.0
2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31063797.0,,,,,,,,,,,,,,,,
