,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.192533,-226727311.0,-240881482.0,65459713.0,437767078.0,-226727311.0,-292187024.0,-5596806.0,6133384.0,536578.0,-240881482.0,-240881482.0,764683056.0,1132000.0,-292723602.0,1000000000.0,1000000000.0,-0.24,-0.24,-240881482.0,-240881482.0,-240881482.0,2334.0,-240883816.0,-240883816.0,-57436592.0,-298320408.0,,,-5596806.0,6133384.0,536578.0,-292723602.0,326915978.0,-11043863.0,337959841.0,171594462.0,166365379.0,166365379.0,34192376.0,437767078.0,471959454.0,471959454.0
2022-12-31,0.0,0.014643,2163815.0,-86053493.0,82308445.0,278095052.0,2163815.0,-80144630.0,-6558397.0,7187698.0,629301.0,-86053493.0,-86053493.0,573227414.0,882000.0,-80773931.0,1000000000.0,1000000000.0,-0.09,-0.09,-86053493.0,-86053493.0,-86053493.0,12.0,-86053505.0,-86053505.0,-1278823.0,-87332328.0,,,-6558397.0,7187698.0,629301.0,-80773931.0,295132362.0,-9921850.0,305054212.0,172260717.0,132793495.0,132793495.0,214358431.0,278095052.0,492453483.0,492453483.0
2021-12-31,0.0,0.173153,21069039.0,-62746189.0,88951368.0,288675639.0,21069039.0,-67882329.0,-7334920.0,8000649.0,665729.0,-62746189.0,-62746189.0,588003786.0,,-68548058.0,1000000000.0,1000000000.0,-0.06,-0.06,-62746189.0,-62746189.0,-62746189.0,-2591.0,-62743598.0,-62743598.0,-13139380.0,-75882978.0,,,-7334920.0,8000649.0,665729.0,-68548058.0,299328147.0,-23211670.0,322539817.0,180065980.0,142473837.0,142473837.0,230780089.0,288675639.0,519455728.0,519455728.0
2020-12-31,0.0,0.216366,69011600.0,-27718257.0,95836059.0,434328072.0,69011600.0,-26824459.0,-7685301.0,8546927.0,861626.0,-27718257.0,-27718257.0,758342083.0,1240000.0,-27686085.0,1000000000.0,1000000000.0,-0.03,-0.03,-27718257.0,-27718257.0,-27718257.0,-53.0,-27718204.0,-27718204.0,-7653182.0,-35371386.0,,,-7685301.0,8546927.0,861626.0,-27686085.0,324014011.0,-27010591.0,351024602.0,223304385.0,127720217.0,127720217.0,296327926.0,434328072.0,730655998.0,730655998.0
2019-12-31,,,,,,,,,,,,,,,16295000.0,,,,,,,,,,,,,,41402984.0,41402984.0,,,,,,,,,,,,,,
