,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-6025.597615,0.039309,388564068.0,-153287.0,-153287.0,151228546.0,179822781.0,4679212383.0,388410781.0,208588000.0,-50434897.0,51171530.0,736633.0,151375807.402385,151228546.0,5049596231.0,206474403.0,632753000.0,632753000.0,0.239,0.239,151228546.0,151228546.0,151228546.0,151228546.0,151228546.0,6187924.0,157416470.0,2206204.0,14251004.0,,,2359491.0,-153287.0,-50434897.0,51171530.0,736633.0,205645163.0,370383848.0,-14251004.0,384634852.0,133685646.0,250949206.0,250949206.0,576029011.0,4679212383.0,5255241394.0,5255241394.0
2022-12-31,-63372.466988,0.061548,579991476.0,-1029651.0,-1029651.0,329482191.0,174526252.0,6882335279.0,578961825.0,404435573.0,-52950685.0,53344603.0,393918.0,330448469.533012,329482191.0,7277946201.0,384241315.0,632753000.0,632753000.0,0.521,0.521,329482191.0,329482191.0,329482191.0,329482191.0,329482191.0,21608779.0,351090970.0,758088.0,16290968.0,,,1787739.0,-1029651.0,-52950685.0,53344603.0,393918.0,403283567.0,395610922.0,-16290968.0,411901890.0,142767539.0,269134351.0,269134351.0,798894489.0,6882335279.0,7681229768.0,7681229768.0
2021-12-31,73086.410185,0.015642,514953821.0,4672484.0,4672484.0,292263186.0,174735010.0,4921013662.0,519626305.0,344891295.0,-47712444.0,47983921.0,271477.0,287663788.410185,292263186.0,5256921909.0,321469346.0,632753000.0,632753000.0,0.462,0.462,292263186.0,292263186.0,292263186.0,292263186.0,292263186.0,4644188.0,296907374.0,4954570.0,19434636.0,,,282086.0,4672484.0,-47712444.0,47983921.0,271477.0,339665248.0,335908247.0,-19434636.0,355342883.0,101908884.0,253433999.0,253433999.0,675573495.0,4921013662.0,5596587157.0,5596587157.0
2020-12-31,47116.663446,0.010664,406126059.0,4418369.0,4418369.0,159054993.0,190110829.0,3365087592.0,410544428.0,220433599.0,-59460192.0,59664191.0,203999.0,154683740.663446,159054993.0,3670952806.0,212784734.0,632753000.0,632753000.0,0.251,0.251,159054993.0,159054993.0,159054993.0,159054993.0,159054993.0,1714415.0,160769408.0,2424685.0,10741788.0,0.0,0.0,-1993684.0,4418369.0,-59460192.0,59664191.0,203999.0,217804915.0,305865214.0,-10741788.0,316607002.0,97404523.0,219202479.0,219202479.0,523670129.0,3365087592.0,3888757721.0,3888757721.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
