,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,4210552.6,0.2,357178774.0,21052763.0,21052763.0,307382138.0,168726626.0,378231537.0,378231537.0,-70849399.0,70849399.0,290539927.6,307382138.0,176333271.0,126513705.0,446750000.0,446750000.0,0.688041,0.688041,307382138.0,307382138.0,307382138.0,307382138.0,307382138.0,307382138.0,12065734.0,-8987029.0,21052763.0,-70849399.0,70849399.0,366165803.0,7606645.0,,7606645.0,7606645.0,7606645.0,8677054.0,373772448.0,168726626.0,542499074.0,542499074.0
2022-12-31,8177736.2,0.2,323400904.0,40888681.0,40888681.0,316003598.0,163975664.0,364289585.0,364289585.0,-48285987.0,48285987.0,283292653.2,316003598.0,171587280.0,123284667.0,446750000.0,446750000.0,0.707339,0.707339,316003598.0,316003598.0,316003598.0,316003598.0,316003598.0,316003598.0,29113805.0,-11774876.0,40888681.0,-48285987.0,48285987.0,335175780.0,7611616.0,,7611616.0,7611616.0,7611616.0,8569159.0,342787396.0,163975664.0,506763060.0,506763060.0
2021-12-31,32938231.8,0.2,320330286.0,164691159.0,164691159.0,441775495.0,147637555.0,485021445.0,485021445.0,-43245950.0,43245950.0,310022567.8,441775495.0,155242588.0,108214769.0,446750000.0,446750000.0,0.988865,0.988865,441775495.0,441775495.0,441775495.0,441775495.0,441775495.0,441775495.0,156559150.0,-8132009.0,164691159.0,-43245950.0,43245950.0,328462295.0,7605033.0,,7605033.0,7605033.0,7605033.0,8231773.0,336067328.0,147637555.0,483704883.0,483704883.0
2020-12-31,40775842.2,0.2,319071786.0,203879211.0,203879211.0,477575934.0,182033662.0,522950997.0,522950997.0,-45375063.0,45375063.0,314472565.2,477575934.0,189632940.0,141868748.0,446750000.0,446750000.0,1.069,1.069,477575934.0,477575934.0,477575934.0,477575934.0,477575934.0,477575934.0,198218258.0,-5660953.0,203879211.0,-45375063.0,45375063.0,324732739.0,7599278.0,,7599278.0,7599278.0,7599278.0,7972121.0,332332017.0,182033662.0,514365679.0,514365679.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8947458.0,,,,,,,,
