,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,843690.739681,0.193098,95178131.0,4369239.0,4369239.0,70838185.0,9997160.0,436694332.0,99547370.0,89550210.0,-1747228.0,1759904.0,12676.0,67312636.739681,70838185.0,508153143.0,88358624.0,141676370.0,141676370.0,0.5,0.5,70838185.0,70838185.0,70838185.0,70838185.0,70838185.0,16952121.0,87790306.0,4473451.0,104212.0,0.0,0.0,4369239.0,-1747228.0,1759904.0,12676.0,85064083.0,71458811.0,,71458811.0,32951012.0,38507799.0,38507799.0,156522894.0,436694332.0,593217226.0,593217226.0
2022-12-31,-612606.557886,0.187879,68164629.0,-3260641.0,-3260641.0,44917830.0,8553209.0,325697833.0,64903988.0,56350779.0,-1039475.0,1041484.0,2009.0,47565864.442114,44917830.0,388132967.0,53019993.0,140368219.0,140368219.0,0.32,0.32,44917830.0,44917830.0,44917830.0,44917830.0,44917830.0,10391465.0,55309295.0,-2528755.0,731886.0,0.0,0.0,-3260641.0,-1039475.0,1041484.0,2009.0,58877525.0,62435134.0,,62435134.0,25403458.0,37031676.0,37031676.0,121312659.0,325697833.0,447010492.0,447010492.0
2021-12-31,608601.20783,0.191442,152885400.0,3179035.0,3179035.0,118695293.0,9030380.0,428454403.0,156064435.0,147034055.0,-233215.0,235296.0,2081.0,116124859.20783,118695293.0,502888207.0,138811680.0,143006377.0,143006377.0,0.83,0.83,118695293.0,118695293.0,118695293.0,118695293.0,118695293.0,28103466.0,146798759.0,4077552.0,898517.0,62990.0,62990.0,3116045.0,-233215.0,235296.0,2081.0,142954422.0,74433804.0,-898517.0,74433804.0,33861683.0,40572121.0,40572121.0,217388226.0,428454403.0,645842629.0,645842629.0
2020-12-31,1030986.58412,0.198801,109745987.0,5186017.0,5186017.0,81792963.0,12479987.0,387970360.0,114932004.0,102452017.0,-351124.0,363788.0,12664.0,77637932.58412,81792963.0,454838342.0,102452017.0,143496426.0,143496426.0,0.57,0.57,81792963.0,81792963.0,81792963.0,81792963.0,81792963.0,20295266.0,102088229.0,5267014.0,80997.0,44298.0,44298.0,5141719.0,-351124.0,363788.0,12664.0,97172339.0,66867982.0,-80997.0,66867982.0,28982137.0,37885845.0,37885845.0,164040321.0,387970360.0,552010681.0,552010681.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2361543.0,,,,,,,,
