,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,1655533.668,0.2,5398209.77,8277668.34,8277668.34,21953546.45,9989694.53,13675878.11,13675878.11,,,15331411.778,21953546.45,16177634.83,138000000.0,138000000.0,0.159084,0.159084,21953546.45,21953546.45,21953546.45,21953546.45,21953546.45,21953546.45,8277668.34,,8277668.34,,,13675878.11,6187940.3,6187940.3,,,,,19863818.41,9989694.53,29853512.94,29853512.94
2022-12-31,128707.196,0.2,9350703.32,643535.98,643535.98,10637775.28,10304789.75,9994239.3,9994239.3,,,10122946.496,10637775.28,16588416.68,138000000.0,138000000.0,0.077085,0.077085,10637775.28,10637775.28,10637775.28,10637775.28,10637775.28,10637775.28,643535.98,-1213950.23,643535.98,,,9994239.3,6283626.93,6283626.93,,,,,16277866.23,10304789.75,26582655.98,26582655.98
2021-12-31,-712597.302,0.2,13171625.82,-3562986.51,-3562986.51,6045652.8,9914397.87,9608639.31,9608639.31,,,8896042.008,6045652.8,15218271.91,138000000.0,138000000.0,0.043809,0.043809,6045652.8,6045652.8,6045652.8,6045652.8,6045652.8,6045652.8,-3562986.51,-1488025.09,-3562986.51,,,9608639.31,5303874.04,5303874.04,,,,,14912513.35,9914397.87,24826911.22,24826911.22
2020-12-31,-784374.294,0.2,19161588.47,-3921871.47,-3921871.47,11317845.53,7615344.02,15239717.0,15239717.0,,,14455342.706,11317845.53,12339610.77,138000000.0,138000000.0,0.082013,0.082013,11317845.53,11317845.53,11317845.53,11317845.53,11317845.53,11317845.53,-3921871.47,-1527964.7,-3921871.47,,,15239717.0,4724266.75,4724266.75,1381.3,,,,19963983.75,7615344.02,27579327.77,27579327.77
2019-12-31,,,,,,,,,,373814.33,373814.33,,,,,,,,,,,,,,,-112267.98,,373814.33,373814.33,,,,1594.37,376000.0,376000.0,376000.0,,,,
