,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,29816322.835085,0.04597,209296249.0,648607788.0,648607788.0,690826791.0,72154448.0,5766979471.0,857904037.0,785749589.0,-23360547.0,23360547.0,72035325.835085,681054204.0,6588199920.0,778967309.0,442242990.0,442242990.0,1.54,1.54,681054204.0,681054204.0,681054204.0,-36515435.0,717569639.0,-9772587.0,727342226.0,35046816.0,762389042.0,655390068.0,,649600881.0,649600881.0,,6782280.0,-993093.0,-23360547.0,23360547.0,130359521.0,821220449.0,-58031917.0,879252366.0,131378422.0,747873944.0,747873944.0,,951579970.0,5766979471.0,6718559441.0,6718559441.0
2022-12-31,6448934.065817,0.194518,328723226.0,33153410.0,33153410.0,211928426.0,74163976.0,4474180607.0,361876636.0,287712660.0,-18214456.0,18214456.0,185223950.065817,234932152.0,5174968494.0,279492852.0,443268211.0,443268211.0,0.53,0.53,234932152.0,234932152.0,234932152.0,-5147534.0,240079686.0,23003726.0,217075960.0,52422244.0,269498204.0,41373218.0,,0.0,0.0,,8219808.0,33153410.0,-18214456.0,18214456.0,246339442.0,700787887.0,-31798833.0,732586720.0,136621401.0,595965319.0,595965319.0,,947127329.0,4474180607.0,5421307936.0,5421307936.0
2021-12-31,4512050.461031,0.210162,396812811.0,21469411.0,21469411.0,262842785.0,72741607.0,4047442913.0,418282222.0,345540615.0,-11530344.0,11530344.0,245885424.461031,256988116.0,4594681113.0,336840522.0,443082959.0,443082959.0,0.58,0.58,256988116.0,256988116.0,256988116.0,-971280.0,257959396.0,-5854669.0,263814065.0,70196206.0,334010271.0,30169504.0,,,,,8700093.0,21469411.0,-11530344.0,11530344.0,315371111.0,547238200.0,-10684167.0,557922367.0,116878081.0,441044286.0,441044286.0,,862609311.0,4047442913.0,4910052224.0,4910052224.0
2020-12-31,1951125.635051,0.202856,386466218.0,9618272.0,9618272.0,244622433.0,74221351.0,3812855742.0,396084490.0,321863139.0,-11130594.0,11130594.0,236955286.635051,244622433.0,4360296816.0,320136783.0,444768060.0,444768060.0,0.55,0.55,244622433.0,244622433.0,244622433.0,-3076104.0,247698537.0,,247698537.0,63034008.0,310732545.0,11344628.0,,,,,1726356.0,9618272.0,-11130594.0,11130594.0,310518511.0,547441074.0,-59881679.0,607322753.0,100916351.0,506406402.0,506406402.0,,857959585.0,3812855742.0,4670815327.0,4670815327.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41227517.0,0.0,,0.0,,,,,,,,,,,,68397125.0,,,,
