,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-17506450.6,0.2,219245205.0,-87532253.0,-87532253.0,75080586.0,26190803.0,131712952.0,131712952.0,-56632366.0,56632366.0,,145106388.4,75080586.0,26190803.0,279064000.0,279064000.0,0.269044,0.269044,75080586.0,75080586.0,75080586.0,75080586.0,75080586.0,75080586.0,-130858821.0,-43326568.0,-77532253.0,77532253.0,-10000000.0,-56632366.0,56632366.0,,262571773.0,,,262571773.0,26190803.0,288762576.0,288762576.0
2022-12-31,6000000.0,0.2,209345189.0,30000000.0,30000000.0,205907752.0,25309251.0,239345189.0,239345189.0,-33437437.0,33437437.0,,181907752.0,205907752.0,25309251.0,279064000.0,279064000.0,0.737851,0.737851,205907752.0,205907752.0,205907752.0,205907752.0,205907752.0,205907752.0,-51415530.0,-81415530.0,0.0,,30000000.0,-33437437.0,33437437.0,,290760719.0,,,290760719.0,25309251.0,316069970.0,316069970.0
2021-12-31,0.0,0.0,18635244.0,-89000000.0,-89000000.0,-103473133.0,21662818.0,-70364756.0,-70364756.0,-33108377.0,33108377.0,,-14473133.0,-103473133.0,21662818.0,279064000.0,279064000.0,-0.370786,-0.370786,-103473133.0,-103473133.0,-103473133.0,-103473133.0,-103473133.0,-103473133.0,-364468164.0,-275468164.0,,,-89000000.0,-33108377.0,33108377.0,,294103408.0,,,294103408.0,21662818.0,315766226.0,315766226.0
2020-12-31,-20818966.0,0.2,289105007.0,-104094830.0,-104094830.0,148233455.0,23330240.0,185010177.0,185010177.0,-36776722.0,36776722.0,,231509319.0,148233455.0,23330240.0,279064000.0,279064000.0,0.531181,0.531181,148233455.0,148233455.0,148233455.0,148233455.0,148233455.0,148233455.0,-107072664.0,-2977834.0,,,-104094830.0,-36776722.0,36776722.0,,292082841.0,,,292082841.0,23330240.0,315413081.0,315413081.0
2019-12-31,,,,,,,,,,,,227002.0,,,,,,,,,,,,,,,,,,,,,227002.0,,2707989.0,2707989.0,,,,
