,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded
2023-12-31,-8886900.1,0.0871,-102031000.0,-102031000.0,933002000.0,1029091000.0,-7025000.0,7025000.0,1026146099.9,933002000.0,7698864000.0,389267000.0,389267000.0,2.4,2.4,933002000.0,933002000.0,933002000.0,933002000.0,933002000.0,89064000.0,1022066000.0,12296000.0,-102031000.0,102031000.0,-7025000.0,7025000.0,352123000.0,561961000.0,24335000.0,537626000.0,14911000.0,522715000.0,8720930000.0,8720930000.0,4883052000.0,4883052000.0,5411273000.0,528221000.0
2022-12-31,-4270073.6,0.0416,-102646000.0,-102646000.0,1004727000.0,1055280000.0,-6968000.0,6968000.0,1103102926.4,1004727000.0,5970231000.0,389267000.0,389267000.0,2.58,2.58,1004727000.0,1004727000.0,1004727000.0,1004727000.0,1004727000.0,43585000.0,1048312000.0,12104000.0,-102646000.0,102646000.0,-6968000.0,6968000.0,337609000.0,495777000.0,30143000.0,465634000.0,18119000.0,447515000.0,7018543000.0,7018543000.0,3834394000.0,3834394000.0,4222280000.0,387886000.0
2021-12-31,0.0,0.0006,,,1230029000.0,1237700000.0,-6922000.0,6922000.0,1230029000.0,1230029000.0,3113333000.0,389267000.0,389267000.0,3.16,3.16,1230029000.0,1230029000.0,1230029000.0,1230029000.0,1230029000.0,749000.0,1230778000.0,34202000.0,,,-6922000.0,6922000.0,319051000.0,305999000.0,5676000.0,300323000.0,15847000.0,284476000.0,4344111000.0,4344111000.0,2052579000.0,2052579000.0,2537959000.0,485380000.0
2020-12-31,0.0,0.2,,,631114000.0,505941000.0,-4652000.0,4652000.0,631114000.0,631114000.0,3889170000.0,387563000.0,387563000.0,1.63,1.63,631114000.0,631114000.0,631114000.0,631114000.0,631114000.0,-129825000.0,501289000.0,62053000.0,,,-4652000.0,4652000.0,265413000.0,412696000.0,5838000.0,406858000.0,112113000.0,294745000.0,4390459000.0,4390459000.0,2474548000.0,2474548000.0,3456194000.0,981646000.0
