,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.118151,924043554.0,290494807.0,589594403.0,3008514880.0,924043554.0,334449151.0,-5033566.0,5033566.0,290494807.0,290494807.0,3800369049.0,318500851.0,998282000.0,998282000.0,0.29,0.29,290494807.0,290494807.0,290494807.0,290494807.0,290494807.0,38920778.0,329415585.0,15948300.0,,15948300.0,-5033566.0,5033566.0,318500851.0,791854169.0,-169956181.0,961810350.0,464314832.0,497495518.0,497495518.0,1110355020.0,3008514880.0,4118869900.0,4118869900.0
2022-12-31,0.0,0.02055,1023825075.0,474371261.0,535864279.0,2847378793.0,1023825075.0,487960796.0,-3636904.0,3636904.0,474371261.0,474371261.0,3617986590.0,469255601.0,998282000.0,998282000.0,0.48,0.48,474371261.0,474371261.0,474371261.0,474371261.0,474371261.0,9952631.0,484323892.0,18705195.0,,18705195.0,-3636904.0,3636904.0,469255601.0,770607797.0,-187205936.0,957813733.0,450234137.0,507579596.0,507579596.0,1239863398.0,2847378793.0,4087242191.0,4087242191.0
2021-12-31,0.0,0.0029,785584172.0,313112654.0,467579368.0,1730304822.0,785584172.0,318004804.0,-3992962.0,3992962.0,313112654.0,313112654.0,2475906383.0,308651885.0,998282000.0,998282000.0,0.314,0.314,313112654.0,313112654.0,313112654.0,313112654.0,313112654.0,899188.0,314011842.0,9352919.0,,9352919.0,-3992962.0,3992962.0,308651885.0,745601561.0,-176055227.0,921656788.0,363020063.0,558636725.0,558636725.0,1054253446.0,1730304822.0,2784558268.0,2784558268.0
2020-12-31,0.0,0.0243,715924749.0,170668650.0,535918099.0,1853825042.0,715924749.0,180006650.0,-5078605.0,5078605.0,170668650.0,170668650.0,2592779028.0,182720914.0,998282000.0,998282000.0,0.171,0.171,170668650.0,170668650.0,170668650.0,170668650.0,170668650.0,4259395.0,174928045.0,-2714264.0,,-2714264.0,-5078605.0,5078605.0,182720914.0,738953986.0,-161611037.0,900565023.0,366130919.0,534434104.0,534434104.0,921674900.0,1853825042.0,2775499942.0,2775499942.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,164522661.0,,,,,,,,,,,,,,
