,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-09-30,-84340083.574314,0.197673,23494089642.0,-426664695.0,-426664695.0,8790867556.0,8870317599.0,23058722628.0,23067424947.0,14197107348.0,-2866859028.0,2890490000.0,23630972.0,9133192167.425686,8790867556.0,33540611067.0,56986.0,14197278020.0,14285700000.0,14285700000.0,0.62,0.62,8790867556.0,8790867556.0,8790867556.0,-280736998.0,9071604554.0,9071604554.0,2235012794.0,11306617348.0,-426832671.0,,-438113264.0,10192736.0,448306000.0,-167976.0,11448569.0,-2866859028.0,2890490000.0,23630972.0,14600304068.0,10481888439.0,10481888439.0,25082192507.0,23058722628.0,48140915135.0,48140915135.0
2022-09-30,27992674.138674,0.208285,-2136489581.0,134396107.0,134396107.0,-11087867188.0,8931759870.0,19485168352.0,-2002093474.0,-10933853344.0,-2882484043.0,2929800000.0,47315957.0,-11194270620.861326,-11087867188.0,27675405549.0,559009057.0,-10933671120.0,14285700000.0,14285700000.0,-0.78,-0.78,-11087867188.0,-11087867188.0,-11087867188.0,-111802920.0,-10976064268.0,-10976064268.0,-2887589076.0,-13863653344.0,134217564.0,-1039360000.0,-175123088.0,2350434.0,177473522.0,-178543.0,309519195.0,-2882484043.0,2929800000.0,47315957.0,-11115382408.0,8190237197.0,8190237197.0,-2925145211.0,19485168352.0,16560023141.0,16560023141.0
2021-09-30,-202005700.358253,0.203123,-7550148581.0,-994500123.0,-994500123.0,-16322014074.0,9027381293.0,18185971189.0,-8544648704.0,-17572029997.0,-2739747022.0,2973000000.0,233252978.0,-15529519651.358253,-16322014074.0,23877703970.0,239253929.0,-17571940403.0,14285700000.0,14285700000.0,-1.14,-1.14,-16322014074.0,-16322014074.0,-16322014074.0,49850855.0,-16371864929.0,-16371864929.0,-4173165068.0,-20545029997.0,-1013182111.0,-18590000.0,-950238283.0,1929725.0,952168008.0,-91988.0,-44261840.0,-2739747022.0,2973000000.0,233252978.0,-16792105257.0,5691732781.0,5691732781.0,-11100372476.0,18185971189.0,7085598713.0,7085598713.0
2020-09-30,-191257640.960877,0.194514,12407284636.0,-983258244.0,-983258244.0,4320675067.0,5441250923.0,17194311704.0,11424026392.0,5982775469.0,344690934.0,646200000.0,990890934.0,5112675670.039123,4320675067.0,25185496465.0,2393307000.0,5982780711.0,14285700000.0,14285700000.0,0.3,0.3,4320675067.0,4320675067.0,4320675067.0,22139036.0,4298536031.0,4298536031.0,1038039438.0,5336575469.0,-1001711229.0,-18450000.0,-1224288244.0,3969317.0,1228257561.0,-2985.0,241030000.0,344690934.0,646200000.0,990890934.0,5993602436.0,7991184761.0,7991184761.0,13984787197.0,17194311704.0,31179098901.0,31179098901.0
