,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Write Off,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,245643073.2,0.2052,885627000.0,1197091000.0,1197091000.0,1228523000.0,450738000.0,30803048000.0,2082718000.0,1631980000.0,-113048000.0,88311000.0,8278000.0,277075073.2,1228523000.0,32077048000.0,26528000.0,1596718000.0,1000000000.0,1000000000.0,1.23,1.23,1228523000.0,1228523000.0,1228523000.0,2599000.0,1225924000.0,1225924000.0,317745000.0,1543669000.0,1596504000.0,364151000.0,1152464000.0,28789000.0,1121934000.0,-1741000.0,35262000.0,44627000.0,-113048000.0,33015000.0,88311000.0,8278000.0,60213000.0,1274000000.0,38816000.0,,,,1235184000.0,478612000.0,756572000.0,79096000.0,26528000.0,650948000.0,1334213000.0,30803048000.0,32137261000.0,32137261000.0
2022-12-31,7370606.8,0.2348,995466000.0,31391000.0,31391000.0,422079000.0,406123000.0,32052368000.0,1026857000.0,620734000.0,-97531000.0,69115000.0,1590000.0,398058606.8,422079000.0,33116028000.0,12024000.0,625562000.0,1000000000.0,1000000000.0,0.42,0.42,422079000.0,422079000.0,422079000.0,0.0,422079000.0,422079000.0,129540000.0,551619000.0,253084000.0,226521000.0,16320000.0,4842000.0,0.0,-11478000.0,-4828000.0,15071000.0,-97531000.0,30006000.0,69115000.0,1590000.0,396066000.0,1063660000.0,46243000.0,,,,1017417000.0,393722000.0,623695000.0,65448000.0,12024000.0,546223000.0,1459726000.0,32052368000.0,33512094000.0,33512094000.0
2021-12-31,14736313.8,0.2171,659871000.0,67878000.0,67878000.0,233527000.0,370060000.0,18919800000.0,727749000.0,357689000.0,-78703000.0,59398000.0,1436000.0,180385313.8,233527000.0,19769488000.0,14316000.0,370478000.0,1000033000.0,1000033000.0,0.23,0.23,233527000.0,233527000.0,233527000.0,,233527000.0,233527000.0,64764000.0,298291000.0,244663000.0,189574000.0,51264000.0,44270000.0,,-6994000.0,-12789000.0,16614000.0,-78703000.0,20741000.0,59398000.0,1436000.0,132331000.0,849688000.0,16602000.0,370060000.0,370060000.0,,833086000.0,291146000.0,541940000.0,47813000.0,14316000.0,479811000.0,982019000.0,18919800000.0,19901819000.0,19901819000.0
2020-12-31,7913588.4,0.2031,638230000.0,38964000.0,38964000.0,217655000.0,352466000.0,15220341000.0,677194000.0,324728000.0,-69198000.0,51585000.0,1639000.0,186604588.4,217655000.0,16407266000.0,16089000.0,329314000.0,1042861000.0,1042861000.0,0.21,0.21,217655000.0,217655000.0,217655000.0,,217655000.0,217655000.0,55488000.0,273143000.0,204634000.0,170256000.0,17917000.0,,,-17917000.0,-4586000.0,21047000.0,-69198000.0,19252000.0,51585000.0,1639000.0,137707000.0,1186925000.0,15884000.0,352466000.0,352466000.0,352466000.0,818575000.0,278014000.0,540561000.0,61604000.0,16089000.0,462868000.0,1324632000.0,15220341000.0,16544973000.0,16544973000.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240229000.0,240229000.0,240229000.0,,,,,,,,,,
