,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.245,85608548.0,17576442.0,51196666.0,408534713.0,85608548.0,34411882.0,-10948994.0,10948994.0,17576442.0,17576442.0,520385551.0,34411882.0,258291087.0,258291087.0,0.068,0.068,17576442.0,17576442.0,17576442.0,-138647.0,17715089.0,17715089.0,5747799.0,23462888.0,,,-10948994.0,10948994.0,34411882.0,111850838.0,-18806420.0,130657258.0,7739980.0,122917278.0,100877606.0,22039672.0,146262720.0,408534713.0,554797433.0,554797433.0
2022-12-31,0.0,0.1749,64968725.0,9542823.0,46055070.0,624440387.0,64968725.0,18913655.0,-7371729.0,7371729.0,9542823.0,9542823.0,725034234.0,18913655.0,258291087.0,258291087.0,0.037,0.037,9542823.0,9542823.0,9542823.0,20073.0,9522750.0,9522750.0,2019176.0,11541926.0,,,-7371729.0,7371729.0,18913655.0,100593847.0,-21033265.0,121627112.0,8865553.0,112761559.0,89986783.0,22774776.0,119507502.0,624440387.0,743947889.0,743947889.0
2021-12-31,0.0,0.1766,78794507.0,21557489.0,45722360.0,371612443.0,78794507.0,33072147.0,-6614729.0,6614729.0,21557489.0,21557489.0,479095389.0,33072147.0,258291087.0,258291087.0,0.084,0.084,21557489.0,21557489.0,21557489.0,18560.0,21538929.0,21538929.0,4918489.0,26457418.0,,,-6614729.0,6614729.0,33072147.0,107482946.0,-16051591.0,123534537.0,7883401.0,115651136.0,94862121.0,20789015.0,140555093.0,371612443.0,512167536.0,512167536.0
2020-12-31,0.0,0.2196,89290223.0,30621048.0,42347114.0,334504947.0,89290223.0,46943109.0,-7513723.0,7513723.0,30621048.0,30621048.0,433116298.0,,258291087.0,258291087.0,0.119,0.119,30621048.0,30621048.0,30621048.0,-75775.0,30696823.0,30696823.0,8732563.0,39429386.0,,,-7513723.0,7513723.0,46943109.0,98611351.0,-13635757.0,112247108.0,7688053.0,104559055.0,89859872.0,14699183.0,145554460.0,334504947.0,480059407.0,480059407.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,10150617.0,10150617.0,,,,,,,,,,,,,,
