,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Impairment Of Capital Assets,Operating Income,Operating Expense,Other Operating Expenses,Provision For Doubtful Accounts,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,-10885100.454789,0.160301,245024916.0,-67904000.0,-67904000.0,189004923.0,18084029.0,112430530.0,177120916.0,159036887.0,246023822.545211,189004923.0,672139681.0,19043000.0,1184125714.0,1184125714.0,0.1575,0.1575,189004923.0,189004923.0,189004923.0,189004923.0,189004923.0,36081678.0,225086601.0,66049753.0,133953753.0,-67904000.0,-27895000.0,40009000.0,,159036887.0,559709151.0,,207491706.0,352217445.0,4381907.0,347835538.0,347835538.0,718746038.0,112430530.0,831176568.0,831176568.0
2022-12-31,1613558.920325,0.161534,260919134.0,9989000.0,9989000.0,309756269.0,17502431.0,78920405.0,270908134.0,253405703.0,301380827.920325,309756269.0,535712584.0,18472000.0,1184125714.0,1184125714.0,0.2625,0.2625,309756269.0,309756269.0,309756269.0,309756269.0,309756269.0,59675662.0,369431931.0,116025817.0,106036817.0,9989000.0,12659000.0,2670000.0,,253405703.0,456792179.0,,108152768.0,348639411.0,5670298.0,342969113.0,342969113.0,710197882.0,78920405.0,789118287.0,789118287.0
2021-12-31,-1277568.139396,0.129913,280961412.0,-9834000.0,-9834000.0,307163693.0,17381728.0,74205523.0,271127412.0,253745684.0,315720124.860604,307163693.0,428289671.0,17337000.0,1183267428.0,1181648000.0,0.2625,0.2625,307163693.0,307163693.0,307163693.0,307163693.0,307163693.0,45862873.0,353026566.0,99280837.0,109114837.0,-9834000.0,-11873000.0,-2039000.0,,253745684.0,354084148.0,-109114837.0,83195143.0,270889005.0,2798894.0,268090111.0,268090111.0,607829832.0,74205523.0,682035355.0,682035355.0
2020-12-31,-1687907.463664,0.079893,274547943.0,-21127066.0,-21127066.0,290707766.0,21093631.0,84177616.0,253420877.0,232327246.0,310146924.536336,290707766.0,440442879.0,,1181053714.0,1177643428.0,0.245,0.245,290707766.0,290707766.0,290707766.0,290707766.0,290707766.0,25242235.0,315950001.0,83622755.0,104749821.0,-21127066.0,,21127066.0,,232327246.0,356265263.0,-104749821.0,98834076.0,257431187.0,2987622.0,254443565.0,254443565.0,588592509.0,84177616.0,672770125.0,672770125.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12921429.0,,,-72351270.0,,,,,,,,,
