,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Salaries And Wages,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded
2023-12-31,0.0,0.190645,1759440740.0,2226996768.0,-24514711.0,24514711.0,1759440740.0,1759440740.0,13242167573.0,594292336.0,594292336.0,2.96,2.96,1759440740.0,1759440740.0,1759440740.0,-23148718.0,1782589458.0,1782589458.0,419892599.0,2202482057.0,139908126.0,-24514711.0,24514711.0,1471165089.0,1016839679.0,1016839679.0,1016839679.0,15444649630.0,15444649630.0,6003699333.0,6003699333.0,15111585023.0,9107885690.0
2022-12-31,0.0,0.1952,1165921096.0,1481213494.0,-11259331.0,11259331.0,1165921096.0,1165921096.0,13710475740.0,594292336.0,594292336.0,1.96,1.96,1165921096.0,1165921096.0,1165921096.0,-17098354.0,1183019450.0,1183019450.0,286934713.0,1469954163.0,319219414.0,-11259331.0,11259331.0,1259033035.0,976798660.0,976798660.0,976798660.0,15180429903.0,15180429903.0,7073625430.0,7073625430.0,16790089307.0,9716463877.0
2021-12-31,0.0,0.184796,1811469784.0,2243653240.0,0.0,0.0,1811469784.0,1811469784.0,11370161261.0,594292336.0,594292336.0,3.05,3.05,1811469784.0,1811469784.0,1811469784.0,-17566276.0,1829036060.0,1829036060.0,414617180.0,2243653240.0,101555653.0,0.0,0.0,1072305127.0,916678409.0,916678409.0,916678409.0,13613814501.0,13613814501.0,5460251844.0,5460251844.0,16239650757.0,10779398913.0
2020-12-31,0.0,0.191805,2044986217.0,,,,2044986217.0,2044986217.0,10186204583.0,594292336.0,594292336.0,3.441044,3.441044,2044986217.0,2044986217.0,2044986217.0,-19677098.0,2064663315.0,2064663315.0,489997140.0,2554660455.0,50570452.0,,,1312415169.0,890491893.0,890491893.0,890491893.0,12740865038.0,12740865038.0,4217880105.0,4217880105.0,13413696278.0,9195816173.0
