,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Business,Other Special Charges,Write Off,Gain On Sale Of Security,Selling General And Administration,General And Administrative Expense,Insurance And Claims,Salaries And Wages,Total Revenue,Operating Revenue,Occupancy And Equipment,Other Non Interest Expense
2023-12-31,165820032.0,0.192,863646000.0,863646000.0,41635521000.0,4938617000.0,141237000000.0,53128000000.0,194365000000.0,40937695032.0,41635521000.0,1908843000.0,1908843000.0,21.81,21.81,41635521000.0,41635521000.0,41635521000.0,-417111000.0,42052632000.0,42052632000.0,9993277000.0,52045909000.0,0.0,,,0.0,-4453000000.0,48598920000.0,48598920000.0,12432000000.0,36166920000.0,179731792000.0,179731792000.0,15738129000.0,29869957000.0
2022-12-31,380082156.0,0.201,1890956000.0,1890956000.0,29305591000.0,5473032000.0,107574000000.0,31514000000.0,139088000000.0,27794717156.0,29305591000.0,1908843000.0,1908843000.0,15.35,15.35,29305591000.0,29305591000.0,29305591000.0,-439925000.0,29745516000.0,29745516000.0,7483684000.0,37229200000.0,0.0,,,0.0,-4065000000.0,41852767000.0,41852767000.0,6800000000.0,35052767000.0,145504281000.0,145504281000.0,15371271000.0,18594496000.0
2021-12-31,148356186.4,0.1868,794198000.0,794198000.0,26507040000.0,6225102000.0,87427000000.0,26885000000.0,114312000000.0,25861198186.4,26507040000.0,1908843000.0,1908843000.0,13.89,13.89,26507040000.0,26507040000.0,26507040000.0,-445075000.0,26952115000.0,26952115000.0,6189220000.0,33141335000.0,275000000.0,275000000.0,-519198000.0,-275000000.0,13072000000.0,41766596000.0,41766596000.0,6500000000.0,35266596000.0,140556391000.0,140556391000.0,14764803000.0,17234318000.0
2020-12-31,136694261.2,0.1862,734126000.0,734126000.0,17180582000.0,5545356000.0,81554000000.0,30969000000.0,112523000000.0,16583150261.2,17180582000.0,1908843000.0,1908843000.0,9.0,9.0,17180582000.0,17180582000.0,17180582000.0,-364154000.0,17544736000.0,17544736000.0,4013619000.0,21558355000.0,734126000.0,0.0,-734126000.0,0.0,4889000000.0,36992362000.0,36992362000.0,5846000000.0,31146362000.0,123854107000.0,123854107000.0,14165327000.0,20662265000.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,-2134552000.0,,,,,,,,,,
