,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.09713,673937208.0,424751821.0,199932568.0,2236152473.0,673937208.0,474004640.0,-3558490.0,3558490.0,424751821.0,424751821.0,2794648615.0,474004640.0,800000000.0,800000000.0,0.53,0.53,424751821.0,424751821.0,424751821.0,424751821.0,424751821.0,45694329.0,470446150.0,,,-3558490.0,,3558490.0,474004640.0,558496142.0,-17264759.0,575760901.0,433684022.0,142076879.0,142076879.0,1032500782.0,2236152473.0,3268653255.0,3268653255.0
2022-12-31,0.0,0.07623,948903603.0,682388078.0,206273294.0,2495412025.0,948903603.0,742630309.0,-3930968.0,3930968.0,682388078.0,682388078.0,3432320740.0,742630309.0,800000000.0,800000000.0,0.85,0.85,682388078.0,682388078.0,682388078.0,682388078.0,682388078.0,56311263.0,738699341.0,,,-3930968.0,,3930968.0,742630309.0,936908715.0,-13021705.0,949930420.0,778819809.0,171110611.0,171110611.0,1679539024.0,2495412025.0,4174951049.0,4174951049.0
2021-12-31,0.0,0.127399,1105398086.0,776683777.0,203530899.0,2331435142.0,1105398086.0,901867187.0,-11788101.0,11788101.0,776683777.0,776683777.0,3278534769.0,901867187.0,800000000.0,800000000.0,0.97,0.97,776683777.0,776683777.0,776683777.0,776683777.0,776683777.0,113395309.0,890079086.0,,,-11788101.0,,11788101.0,901867187.0,947099627.0,-12044009.0,959143636.0,792461521.0,166682115.0,166682115.0,1848966814.0,2331435142.0,4180401956.0,4180401956.0
2020-12-31,0.0,0.115484,401142567.0,163082617.0,202531103.0,1878761217.0,401142567.0,198611464.0,-14236426.0,14236426.0,163082617.0,163082617.0,2268320758.0,198611464.0,800000000.0,800000000.0,0.2,0.2,163082617.0,163082617.0,163082617.0,163082617.0,163082617.0,21292421.0,184375038.0,,,-14236426.0,1201441.0,14236426.0,198611464.0,389559541.0,-12175588.0,401735129.0,312231849.0,89503280.0,89503280.0,588171005.0,1878761217.0,2466932222.0,2466932222.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,41222736.0,41222736.0,,410039.0,,,,,,,,,,,,
