,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Provision For Doubtful Accounts,Selling General And Administration,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.342,1579955735.0,,,107408967.0,1173854753.0,2034608168.0,1579955735.0,406100982.0,-242953451.0,242953451.0,107408967.0,107408967.0,2293291940.0,1475052841.0,406100982.0,596510000.0,596510000.0,0.18,0.18,107408967.0,107408967.0,107408967.0,107408967.0,107408967.0,55738564.0,163147531.0,89482205.0,89482205.0,,,,-242953451.0,242953451.0,316618777.0,258683772.0,39706.0,258644066.0,258644066.0,258644066.0,575302549.0,2034608168.0,2609910717.0,2609910717.0
2022-12-31,0.0,0.172,1604522408.0,5718763.0,5718763.0,120619087.0,1261088314.0,2387128351.0,1604522408.0,343434094.0,-197684536.0,197684536.0,120619087.0,120619087.0,2623969229.0,1589113091.0,343434094.0,596510000.0,596510000.0,0.2,0.2,120619087.0,120619087.0,120619087.0,120619087.0,120619087.0,25130471.0,145749558.0,33728877.0,33728877.0,5718763.0,1795279.0,-3923484.0,-197684536.0,197684536.0,309705217.0,236840878.0,-3923484.0,240764362.0,240764362.0,240764362.0,546546095.0,2387128351.0,2933674446.0,2933674446.0
2021-12-31,-16668.4,0.2,1755704271.0,-83342.0,-83342.0,120132604.0,1442277166.0,2676555728.0,1755620929.0,313343763.0,-212134610.0,212134610.0,120199277.6,120132604.0,2923621589.0,1793357681.0,313343763.0,596510000.0,596510000.0,0.2,0.2,120132604.0,120132604.0,120132604.0,120132604.0,120132604.0,-18923451.0,101209153.0,24140832.0,24224174.0,-83342.0,-83342.0,0.0,-212134610.0,212134610.0,289202931.0,247065861.0,,247065861.0,247065861.0,247065861.0,536268792.0,2676555728.0,3212824520.0,3212824520.0
2020-12-31,676856.0,0.2,1991586004.0,3384280.0,3384280.0,76060543.0,1678131157.0,3056724517.0,1994970284.0,316839127.0,-261642388.0,261642388.0,73353119.0,76060543.0,3311998990.0,2063109170.0,306963362.0,596510000.0,596510000.0,0.13,0.13,76060543.0,76060543.0,76060543.0,76060543.0,76060543.0,-20863804.0,55196739.0,37474908.0,34090628.0,3384280.0,-6491485.0,-9875765.0,-261642388.0,261642388.0,279364219.0,255274473.0,,255274473.0,255274473.0,255274473.0,534638692.0,3056724517.0,3591363209.0,3591363209.0
2019-12-31,,,,1313322.0,1313322.0,,,,,,,,,,,,,,,,,,,,,,,,,,1313322.0,1313322.0,0.0,,,,,3576386.0,,,,,,,
