,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2023-12-31,0.0,0.2031,73331062.0,50679705.0,5730321.0,551713603.0,73331062.0,67600741.0,-3800994.0,3800994.0,50679705.0,50679705.0,669659161.0,722136113.0,722136113.0,0.07,0.07,50679705.0,50679705.0,50679705.0,-161367.0,50841072.0,50841072.0,12958675.0,63799747.0,8806451.0,8806451.0,-3800994.0,3800994.0,58794290.0,117945558.0,117945558.0,56439919.0,61505639.0,61505639.0,176739848.0,551713603.0,728453451.0,728453451.0
2022-12-31,0.0,0.2021,145114364.0,106431194.0,6619043.0,735623841.0,145114364.0,138495321.0,-4858388.0,4858388.0,106431194.0,106431194.0,866691457.0,686399924.0,686399924.0,0.16,0.16,106431194.0,106431194.0,106431194.0,-200726.0,106631920.0,106631920.0,27005013.0,133636933.0,3564803.0,3564803.0,-4858388.0,4858388.0,134930518.0,131067616.0,131067616.0,68208805.0,62858811.0,62858811.0,265998134.0,735623841.0,1001621975.0,1001621975.0
2021-12-31,0.0,0.2022,203083816.0,155786075.0,7696405.0,672227486.0,203083816.0,195387411.0,-186298.0,186298.0,155786075.0,155786075.0,801001393.0,688697496.0,688697496.0,0.229233,0.229233,155786075.0,155786075.0,155786075.0,46255.0,155739820.0,155739820.0,39461293.0,195201113.0,4772410.0,4772410.0,-186298.0,186298.0,190615001.0,128773907.0,128773907.0,68013819.0,60760088.0,60760088.0,319388908.0,672227486.0,991616394.0,991616394.0
2020-12-31,0.0,0.1959,112618353.0,84657524.0,7119454.0,582792969.0,112618353.0,105498899.0,-242239.0,242239.0,84657524.0,84657524.0,698290879.0,688697496.0,688697496.0,0.1196,0.1196,84657524.0,84657524.0,84657524.0,22152.0,84635372.0,84635372.0,20621288.0,105256660.0,4150479.0,4150479.0,-242239.0,242239.0,101348420.0,115497910.0,115497910.0,58226097.0,57271813.0,57271813.0,216846330.0,582792969.0,799639299.0,799639299.0
